Keyword_Name,KID
"['Requirement', 'Privacy policy', 'Compliance', 'Privacy aware', 'Commitment', 'Privilege', 'Right']",122
Constraint Satisfaction,123
"['COTS vs. requirements mismatch', 'COTS selection', 'MiHOS', 'Sensitivity analysis', 'Case study']",124
"['Traceability management', 'Collaboration', 'Software development processes', 'Multiple case study']",125
system,126
"['Customer relationship management', 'Machine learning', 'Escalation prediction', 'Customer support ticket', 'Design science research']",127
Tool Development,128
aspiration,129
Inconsistency management,130
Requirements Engineering,131
i* compliance,132
catalog,133
Requirements Dataset,134
"['Conceptual modeling', 'Formal concept analysis', 'Viewpoint development']",135
"['Organisational knowledge', 'Political perspective', 'Requirements definition process', 'Social perspective', 'Structural perspective', 'Symbolic perspective']",136
Requirements discovery,137
Domain ignorance,138
Experiment,139
Quality of Software Requirements Specifications,140
"Autonomous Systems, Non-Functional Requirements, Highly Automated Vehicles, and Transparency",141
risk and opportunity analysis,142
Requirements Violation Analysis,143
requirements defects,144
practical,145
traceability strategy,146
Switzerland,147
disillusioned,148
goal reasoning,149
Design,150
Mining Issue Tracker,151
automotive,152
Contingencies,153
"['Requirements dependency', 'Bug prediction', 'Network analysis']",154
"['Obstacle analysis', 'Risk assessment', 'Probabilistic goals', 'Requirements completeness', 'Goal-oriented requirements engineering', 'Risk analysis', 'Quantitative reasoning']",155
"['Functional Requirement', 'Class Diagram', 'Business Context', 'Business Requirement', 'Requirement Traceability']",156
"['Object System', 'Postal Mail', 'Member Register', 'Construction Architecture', 'Transaction Pattern']",157
"Cyber-Physical Systems, Environment Modelling, Problem Frames",158
Domain Analysis,159
scrum,160
Completeness,161
next release problem,162
['Key words:Organisational context – Requirements elicitation – Scenario management – Scenario modelling – Stakeholders'],163
interrelated requirements,164
Risk,165
Vagueness Detection,166
"['Communication', 'Event', 'Interaction constraints', 'Object orientation', 'Specification', 'Synchronisation']",167
Task Interruptions,168
customer support ticket,169
Risk Prediction,170
formal methods,171
tool use method,172
communication structure,173
business intelligence,174
Domain Specified Ontology,175
Business Objectives,176
"['Unify Modeling Language', 'Object Constraint Language', 'Model Drive Architecture', 'Idealistic View', 'Information System Engineering']",177
Remediation Requirements,178
Emotions,179
Knowledge Graph,180
Google Colab,181
mining software repositories,182
hybrid process,183
software product,184
Requirements Refinements,185
debate,186
Ubiquitous Computing,187
Case Based Reasoning,188
late requirements determination,189
iStar,190
['Key words:Formal specifications – Model checking – Simulation – UML'],191
Risk Perception,192
end-user development,193
visual notations,194
"['Real-time', 'Requirements engineering ', 'Scenario-based', 'Time-automata']",195
User Stories,196
provisionments,197
"['Requirements engineering', 'Assurance case development', 'Empirical study', 'Practitioners']",198
feedback analysis,199
RE,200
social network analysis,201
"['Requirement Engineering', 'Product Family', 'Programme Committee', 'Software Product Line', 'Symposium Review']",202
"Textual Requirements, Requirements Identification and Classification, Machine Learning, Natural Language Processing",203
goal-scenario,204
Third party inspection,205
objectives,206
emotional,207
product management,208
"['Requirements engineering', 'Shared understanding', 'Vision', 'Video', 'Asynchronous']",209
"distributed RE, RE with the society, RE for IoPTS, CrowdRE, RE for ecosystems, ubiquity",210
Tool Demo,211
improv,212
"['Ambiguity identification', 'Disambiguation', 'Natural language processing', 'Natural langugage', 'Prototype tools', 'Requirements-identification experiments', 'Requirements-identification prototype', 'Requirements specification tools']",213
cost of reparation,214
"['Domain knowledge', 'Conceptual modeling', 'Requirements engineering', 'Agile documentation']",215
['Key words:Conceptual model – Object-Process Methodology – Off-the-shelf information systems – Ontology – Requirements specification'],216
"Sustainability, Software, Socio-Technical Systems, Requirements Engineering",217
requirement granularity,218
security-and-privacy,219
Fog computing,220
Smartphone,221
Agile,222
"['Cloud forensics', 'Cloud forensic methodology', 'Cloud forensic process', 'Cloud forensic conceptual model', 'Cloud forensic constraints']",223
Research Agenda and Roadmap,224
Aspect Interactions,225
Affect-laden requirements,226
Software Inspection,227
Software Fairness,228
cross-discipline,229
abstraction identification,230
automotive systems engineering,231
"Requirements Documents, Requirements Corpus, Semantic Annotation, Semantic Frames, FrameNet",232
"['Systematic mapping study', 'Secondary study', 'Requirements quality', 'Empirical research']",233
Model Extraction,234
Dependencies between requirements,235
"Agile, Lean, Just-in-time, VBSE, Requirement representation, Requirement organization, Requirement (re) prioritization",236
Requirements Engineering Tasks,237
state machines,238
Domain Knowledge,239
"['Privacy requirements', 'Security requirements']",240
QUS Framework,241
inspection,242
Problem diagrams,243
SOA,244
"['Replication', 'Theoretical replication', 'Viewpoints', 'Model merging', 'Comparative study', 'Scholar@UC', '\n\\(i*\\)\n', 'Traceability']",245
controlled language,246
['Key words: ERP customising – ERP systems – Requirements engineering'],247
corpus linguistics,248
cross-functional teams,249
"['Performance modeling', 'Model-driven engineering', 'Incremental refinement', 'Throughput calculation']",250
conventions,251
Requirements Categorisation,252
Reference Architecture,253
design thinking,254
Requirement Engineering,255
"['Requirements elicitation', 'Domain knowledge', 'Experts', 'Causal models', 'Data mining', 'Medical informatics']",256
Dung Abstract Framework,257
Road Vehicle Electronics,258
evidence-driven risk assessment,259
Data-Driven,260
['Key words:Prototyping – Requirements engineering – Round-Trip Prototyping – UML – User Interface Requirements – Validation'],261
"CPS, Feature Model, Formalization, Goal Model, Goal based Reasoning, Self Adaptation, Simulation, SysML",262
Idea generation,263
practices,264
project scheduling,265
requirements update,266
reflection,267
The General Data Protection Regulation (GDPR),268
Requirements-based testing,269
Change Impact Analysis,270
"['Requirements engineering', 'Software quality', 'Software development methodologies', 'Driving automation systems', 'Autonomous driving']",271
requirements allocation,272
off-the-shelf component,273
Public Good,274
microservice decomposition,275
['Key words:CAME tool – Instantiation – Meta-model – Method assembly – Method components – Method engineering – Requirements specification'],276
App review analysis,277
Security,278
system analysis and design,279
conflict detection,280
frame problem,281
"['Requirement', 'Goal', 'Design', 'Fundamentals', 'Philosophy', 'Ontology', 'Epistemology']",282
"['Documentation', 'Artifacts', 'Requirements engineering', 'Software engineering tools', 'Collaboration', 'Interview', 'Exploratory study']",283
Goal-oriented requirements engineering,284
"['Procurement', 'Use case modelling', 'Requirements patterns']",285
requirements definition,286
Emotion led,287
volatility measure,288
maturity evaluation,289
automated reasoning,290
"['Challenges', 'Problems', 'Organisation', 'Communication', 'Automotive', 'Requirements engineering']",291
refinement,292
factor surveys,293
EARS,294
in-situ marine data,295
"uncertainty, assurance, safety, automotive, requirements engineering, machine-learning",296
rigour,297
"['Transparency requirements', 'Transparency stakeholders', 'Meaningful transparency', 'Useful transparency', 'Information quality', 'Transparency management', 'Information systems']",298
convolutional neural networks,299
"['Soft information systems and technologies methodology', 'SISTeM©\n', 'SISTeM©\n', 'SSM', 'Soft systems methodology', 'Integrating organisational and informational change', 'Requirements engineering', 'Information requirements', 'Electronic patient record', 'Health care', 'NHS', 'Information systems', 'Information technology']",300
satisficing status,301
Specification Exchange,302
Privacy Requirements,303
Safety-Critical Systems,304
Requirements Validation,305
AHP,306
advanced persistent threat,307
Bug Prediction,308
GPT-4 Model,309
Integration,310
correlation,311
environment assertions,312
exploratory case study,313
software quality model,314
system dynamics,315
"['New product introduction', 'Systems engineering', 'Requirements engineering', 'Requirements management', 'Requirements traceability', 'Requirements rationale', 'Product design', 'Product innovation']",316
Explanations,317
continual requirements determination,318
Semantics,319
"['Conceptual modeling', 'Business process modeling', 'Representation forms', 'Model evaluation', 'User preferences', 'Cognitive style']",320
"['Issue management', 'Issue tracking systems', 'Dependency management', 'Duplicate detection', 'Mining issue tracker', 'Transformer models']",321
PM,322
"['Use case', 'Specification', 'Enaction', 'Requirements', 'Validation']",323
goal variability,324
"['Requirements management', 'Visual analytics', 'Requirements engineering visualization', 'Visual analytical reasoning', 'Exploratory case study', 'Risk assessment']",325
SE education,326
Conflict Identification,327
Persona,328
Recommender Systems,329
acceptance,330
process evaluation,331
"['CASE', 'CAME', 'Context', 'Decision', 'Metamodel', 'Method', 'Method engineering', 'Method fragment']",332
Architectural Decision,333
System specifications documents,334
Requirements and acceptance tests alignement,335
"['Requirements engineering', 'Goal-based frameworks', 'Business-IT alignment']",336
Acceptance Test,337
data warehouse,338
"['Roadmapping', 'Long-term solution planning', 'Customer value', 'Value creation', 'Requirements prioritization', 'Action research', 'Industrial experience']",339
"['Special Issue Editors', 'Requirements Engineering Journal', 'Design Science Research Methodology', 'Hedonic Quality', 'User Experience Experts']",340
fine-tuning BERT,341
"Goal model annotation, context accumulation, conflict resolution",342
interdependent requirements,343
Domain model,344
requirements identification,345
Big-data,346
"['Conflicts', 'Game theory', 'Goal-oriented Requirements Engineering (GORE)', 'Goal-oriented Requirement Language (GRL)', 'Nash equilibrium', 'Requirements', 'Undesirable Interactions']",347
Composition,348
Behavior Driven Development,349
"['Software product lines', 'Variability modeling', 'Use scenarios', 'Requirements specification']",350
Committee-focused Requirements Engineering,351
Requirements Engineering (RE),352
Natural Language (NL),353
Quality,354
annotations,355
System of Systems Engineering,356
Interpretability,357
Statecharts,358
Multi-Level Systems,359
"['Systematic error', 'Software effort estimation', 'Expert judgement', 'Family of experiments']",360
Active Learning,361
hybrid systems,362
Mobile apps,363
self-adaptive systems,364
Automotive,365
"['Legal requirements', 'Requirements comparison', 'Requirements reconciliation', 'Conflicts']",366
"UbiComp, IoT, Interaction, Invisibility, NFR, Quality Characteristic, Catalog, Grounded Theory",367
active learning,368
Quality Metrics,369
Collaboration,370
product lines,371
RE4RE,372
Procurement process,373
behavior-driven development,374
Triggers,375
"['Software development', 'Requirement elicitation', 'User interviews', 'Questionnaire development', 'Socio-technical systems', 'Design research']",376
natural language processing,377
pattern,378
Fairness,379
['Key words:Breakdown – Knowledge representation – Legitimate user-driven specification – Social norms – Virtual communities – Workflow modelling'],380
requirements debt,381
safety critical systems,382
"['Adoption', 'Problems and recommendations', 'Requirements engineering research']",383
Latin America,384
sensemaking,385
"['Data modeling', 'Cognitive complexity', 'Problem solving', 'Design principles', 'Information overload', 'Systems theory']",386
['Key words:Animation – Formal methods – Message sequence charts – Scenarios'],387
"['Goal-oriented modeling', 'Goal-oriented Requirement Language (GRL)', 'Integration', 'Matching', 'Merging', 'Semantics', 'Natural language processing']",388
use case descriptions,389
Simulation,390
likelihood assessment,391
requirements visualisation,392
"['Requirements engineering', 'Knowledge engineering', 'Knowledge management', 'Knowledge-intensive business processes', 'Knowledge audit']",393
Feedback Mining,394
Shared Artifact,395
Games,396
['Software Engineer'],397
goal-based reasoning,398
sustainable development,399
Requirements traceability,400
journalism,401
Medical device safety and security,402
"['Conflict resolution', 'Computer-supported cooperative work', 'Distributed facilitation', 'Distributed synchronous meetings', 'Empirical work', 'Groupware', 'Requirements negotiation']",403
earned business value,404
models,405
"['System analysis and design', 'Information systems development', 'Conceptual modeling', 'Empirical comparison', 'Requirements engineering']",406
GRL,407
Pragmatic Quality Model,408
"['Early requirements specifications', 'Formal methods', 'Model checking']",409
survey,410
track,411
Mass Personalization,412
Privacy Requirement,413
"['Requirements engineering', 'Requirements elicitation', 'Interviews', 'App store', 'User stories', 'App store-inspired elicitation']",414
open source software,415
Systems of Systems Engineering,416
causal loop diagram,417
Task Orientation,418
empirical study,419
systems engineering,420
domain ontologies,421
risk,422
AoURN,423
Goal-oriented Requirements Language,424
Requirements dependencies,425
"['Knowledge management', 'Reasoning', 'Requirements engineering', 'Techniques', 'Evaluation', 'Decision support']",426
magnet,427
HAZOP process,428
"['Goals', 'Personas', 'Scenarios', 'Use cases', 'Security']",429
"['Software requirements', 'Requirements engineering', 'Education', 'Systematic mapping study']",430
Experience,431
"['Requirements identification', 'Requirements generation', 'Customer intent', 'Requirements engineering', 'Software engineering', 'Software methodology']",432
Prioritisation,433
Definitions of Pragmatic and Hedonic Qualities,434
Quality Requirement,435
Formal Analysis,436
system evolution,437
"['Pareto optimality', 'Fairness analysis', 'Requirements assignment', 'Multi-objective genetic algorithms', 'Decision making']",438
MDD,439
Functional specifications,440
"['Sustainability', 'Requirements engineering', 'Software development', 'Software engineering', 'Agile']",441
trade-off analysis,442
D.2.1 Requirements/Specifications,443
"['Requirements engineering', 'Aspect-oriented requirements engineering', 'Conflict detection', 'Formal methods', 'Semantic composition', 'Predicate logic']",444
Question Set,445
Requirements change management,446
Requirements Intelligence,447
"['Autonomy', 'Autonomy Requirements Engineering (ARE)', 'Goal modeling', 'Goal-oriented Requirement Language (GRL)', 'Unmanned Aircraft Systems (UASs)', 'Design and Analysis of Simulation Experiments (DASE)']",448
"['Analysis–revision', 'Formal requirements specifications', 'Refinement', 'Retrenchment']",449
user behaviour,450
improvisational theatre,451
SysMl model,452
reference model,453
Recall,454
description logic,455
Feature Interaction,456
"['Component', 'COTS', 'Operating system', 'POSIX', 'Requirements', 'Software']",457
requirements based testing,458
arguments,459
"['Goal-oriented modeling', 'Service systems', 'Telemonitoring', 'Metamodel', 'User Requirements Notation']",460
technology acceptance,461
FMECA,462
"['Requirements', 'Specifications', 'Problem Frames', 'Problem progression', 'Graph transformation']",463
['Key words:Execution semantics – Model checking – Statecharts'],464
consumer,465
Agile Agile Development,466
product owner,467
smart cities,468
"['Entity coreference', 'Requirements inconsistency', 'Deep learning', 'Requirement engineering']",469
on-site requirements elicitation,470
requirements engineering tools,471
Feature-similarity Model,472
communication of requirements,473
agility,474
"['Requirements engineering', 'Distributed software development', 'Agile software process', 'Requirements clustering']",475
"['Cost–benefit analysis', 'Decision making', 'Information visualization', 'Requirements', 'Risk', 'Tradeoffs']",476
Alignment,477
Communication,478
state-machine,479
society,480
game design document,481
need,482
['Key words:COTS – Disagreement – Prioritisation – Product scoping – Release planning – Satisfactory'],483
software packages,484
defaults,485
chemical reaction networks,486
Conversational Agent,487
['Key words:Conceptual modelling – OO methods – Requirements engineering – Traceability – Use cases'],488
Requirement Engineering (RE) Language Processing (NLP),489
Language Models,490
formal framework,491
"Feedback gathering, usage monitoring, requirements, user involvement, feedback acquisition, data collection, requirements elicitation, software evolution, user feedback",492
Software evolution,493
softgoals,494
risk analysis,495
vision-building,496
traceability,497
goal modeling,498
Case-Based Reasoning,499
antecedent preference heuristics,500
Automated Requirements Checking,501
software requirements allocation,502
workshop video,503
"['Software psychology', 'Elicitation methods', 'Human context', 'Activity Theory', 'Activity Checklist', 'Conflicts']",504
feature identification,505
['User Requirement'],506
"['Software product line', 'Architectural prototyping', 'Requirements validation', 'Patterns', 'Architecture evaluation', 'Software performance']",507
Human-centric elicitation,508
industry needs,509
Culture,510
RUCM,511
Automotive SPICE,512
refactoring,513
business analysis lifecycle,514
Requirements analysis,515
Startups,516
"['Case study', 'Communication', 'Requirements', 'Testing', 'Measurements', 'Agile', 'Distances']",517
Product Line Engineering,518
Industry needs,519
"['Web APIs', 'Non-functional requirements', 'Quality attributes', 'Design patterns', 'Trade-offs', 'Software design', 'Software architecture', 'Knowledge reuse', 'Systematic review']",520
Regression Validation,521
controlled natural language,522
commitments,523
"['Goal-oriented modelling', 'Legal and regulatory compliance', 'Regulators', 'Requirements engineering', 'Systematic literature mapping']",524
"['Unified modeling language', 'Semiotics', 'Modeling methods', 'Graphical notations', 'Systems analysis and design']",525
requirements authoring tool,526
user needs,527
mining automation,528
scope,529
Perception,530
software architecture,531
Usage Analytics,532
model-based development,533
safety critical,534
requirements clarification patterns,535
dependency extraction,536
preference analysis,537
Safety Assurance,538
requirements writing,539
evidence traceability,540
"['Inspections', 'Requirements verification', 'Scenarios', 'Scenario quality']",541
['Key words:Goal analysis – Goal modelling – Goal-oriented requirements engineering – Method integration'],542
requirements evolution,543
Non-Functional Requirements,544
Security Requirements,545
"['Information retrieval', 'Traceability', 'Semantics']",546
reinforcement learning,547
"['Explainability', 'Explainable artificial intelligence', 'Non-functional requirements', 'Quality aspects', 'Conceptual model', 'Reference model', 'Knowledge catalogue']",548
temporal logic,549
Crowdsourcing,550
privacy arguments,551
quality measures,552
TextRank,553
agile requirements,554
Logical Structures,555
"['Mobile services', 'Software agents', 'CC/PP', 'Personalization', 'WAP', 'J2ME', 'Java ME', 'Service selection', 'Artificial neural networks']",556
"['Requirements Engineering Education and Training', 'Requirements elicitation', 'Interviews']",557
beyond plan-driven requirements engineering,558
Community-based-Requirements-Engineering,559
RE education,560
"['Requirements similarity', 'Software similarity', 'Correlation', 'Perception of similarity', 'Language models']",561
design sciences research,562
software security,563
uncertainty scopes,564
Personae non gratae,565
design goal,566
Trust Judgement,567
App Stores Mining,568
"['Requirements engineering', 'Software product line', 'Reuse']",569
Requirements Engineering Education and Training,570
big-step modelling languages,571
Integer Constraints,572
"Data analytics, Natural language processing, Machine learning, Weakly supervised learning, Advanced dependencies, Optimization, Release planning",573
"['Requirements baseline', 'Requirements modelling', 'Scenarios', 'Traceability']",574
"['Software requirements specification', 'Global software development', 'Distributed teams', 'Requirements validation']",575
practitioner conference,576
"['Requirements engineering', 'Software ecosystem', 'Mixed method']",577
"['Software modeling', 'Statecharts', 'Agile development', 'Formal verification', 'Model checking', 'Incremental verification']",578
Self-Adaptation,579
quality model,580
"['Analogic reasoning', 'Computational mechanisms', 'Negotiation', 'Viewpoints']",581
Laddering,582
Quantitative Prioritization,583
Technology and Knowledge Transfer,584
"software engineering, requirements engineering, smart ecosystem, information needs, empirical study",585
Requirements Acquisition,586
requirements simulation and optimisation,587
Domain-specific Taxonomy,588
automated planning,589
"['Requirements engineering practice', 'Large-scale research project', 'Cooperative work', 'Gap analysis', 'Interaction analysis']",590
decision support,591
Impact Analysis,592
Emotions Methods,593
business process,594
AECO,595
Safety Requirements,596
"['Shared understanding', 'Continuous software engineering', 'Non-functional requirements', 'Remote']",597
Issue Tracking Systems,598
value,599
Agile Software Development,600
semantic analysis,601
reasoning,602
Requirements Evolution,603
Smart Homes,604
System States,605
SPM,606
Feature Modeling,607
China,608
"['Goal modeling', 'Collaborative cyber-physical systems', 'iStar', 'GRL']",609
information security,610
"['Parallel systems', 'Requirements', 'Formal description', 'Equational reasoning']",611
Goal Modeling,612
social media analysis,613
Big Data Analytics,614
"['Legacy systems', 'Requirements analysis', 'Gamification', 'Digital government']",615
"['Fitness relationship', 'Criterion', 'Metric', 'Alignment', 'Bunge’s ontology']",616
domain-specific terminology.,617
"['Data-driven requirements engineering', 'User feedback', 'Goal-question-metric', 'Goal-oriented requirements analysis']",618
teaching,619
supplier management,620
Traceability Knowledge Graph (TKG),621
V-model,622
"['Risk-aware business process management', 'Meta-modeling', 'Multi-view modeling', 'Consistency']",623
agile methods,624
cloud service,625
trustworthy service level agreement,626
['Key words:Fixed-point theorem – Grounded theory – Grounded systems engineering methodology – GSEM – Information systems requirements – Qualitative methodology – Qualitative scenarios – Requirements engineering'],627
Domain-specific Requirements Engineering,628
Interview,629
tool integration,630
requirements composition,631
['Key words:Automated tool – Completeness – Consistency – Requirements engineering – Requirements model synthesis – Scenario analysis'],632
Software Traceability,633
"['Exploratory experiment', 'Pragmatics of communication', 'Problem solving', 'Viewpoint']",634
"['Information retrieval', 'Traceability', 'Refactoring']",635
requirements-engineering,636
tool demo,637
constrained natural language,638
Use Cases Analysis,639
molecular programming,640
Research Roadmap,641
"['Risk assessment', 'Requirement analysis', 'Goal-oriented requirement engineering']",642
"['Software Engineer', 'Conflicting Requirement']",643
Problem Frames approach,644
['Key words:Empirical study – Legacy systems – Medical information systems – Non-functional requirements – Process history – RE practice – Requirements validation – Usability'],645
Scrum,646
Knowledge assisted configuration,647
Tool support,648
legal coverage,649
Machine Learning (ML),650
Quantitative Analysis & Decision Science,651
International Mobile Equipment Identity (IMEI),652
layout-based clustering,653
"['Viewpoints', 'Incompleteness', 'Inconsistency', 'Requirements specification', 'Prioritization']",654
deep learning,655
App store mining,656
Requirements configurator,657
YouTube,658
power,659
"['Requirement Engineering', 'Problem Analysis', 'Design Activity', 'Solution Specification', 'Requirement Engineer']",660
Classification,661
Systematic review,662
Formal approaches,663
['Key words:QOC – Qualitative case studies – Rationale management – Requirements specification – Use cases'],664
"['Co-operative inquiry', 'Facilitation', 'Inquiry cycle', 'Negotiation', 'Requirements engineering', 'User participation']",665
Scenario Planning,666
end-user feedback,667
Compliance,668
Model,669
Qualitative Requirements,670
dynamic properties,671
Socio cyber physical systems,672
Inconsistency Management,673
['Key words:WfMC – Workflow management systems – XML – XPDL'],674
requirement exchange,675
challenges,676
Inconsistency Analysis,677
GQM,678
"['Contextual requirements', 'Context analysis', 'Goal modeling', 'Requirements analysis']",679
Design Decisions,680
Subsea,681
Model based requirements,682
software evolution,683
Information brokers,684
IoT,685
"['Feature interaction', 'Telecommunications', 'Telephony']",686
automated driving,687
"['Reusability', 'Security requirements', 'Knowledge', 'Ontologies', 'Patterns', 'Templates']",688
value creation,689
smart contracts,690
self-tuning,691
Dependency Management,692
animal tracking,693
traceability problem classes,694
requirements modeling languages,695
"['Requirements handling', 'Service orientation', 'Architecture', 'Capability Taxonomy', 'Agile management and development']",696
NLP4RE,697
conflict analysis,698
SysML,699
Analysis of competing hypotheses,700
DNA nan-otechnology,701
Sentence Patterns,702
composition,703
"['Feature modeling', 'Variability modeling', 'Product line engineering', 'Case study', 'Empirical', 'Automotive']",704
process efficiency,705
social sustainability,706
Prototyping,707
Agile Development,708
requirements problem,709
"['User story templates', 'Eye-tracking', 'GenderMag', 'Empirical evaluation']",710
Zero-shot Learning,711
Spontaneous feedback,712
elicitation,713
detection and resolution,714
Test Scenarios,715
Pragmatic requirements engineering,716
Safety-critical system,717
"['Traceability ', 'Software traceability', 'Traceability management']",718
Outsourcing,719
"['Software product lines', 'Extended feature models', 'Variability management', 'Variability involving attributes']",720
gender,721
Conversational assistants,722
"['Information systems (IS)', 'System requirements', 'Use case (UC) diagram', 'Human–computer interface (HCI)', 'Cognitive psychology', 'Mental model', 'Conceptual mental model', 'Visualization', 'Education']",723
"['Formal language', 'Real time', 'Requirements engineering', 'Temporal logic']",724
"['\nRequirements elicitation', 'User-centred requirements engineering', 'Requirements evolution', 'Collaborative design', 'Design evolution', 'Prototyping']",725
evidence evolution,726
"['Business process management', 'Event logs', 'Goal mining', 'Goal modeling', 'Intention mining', 'Performance indicators', 'Process mining', 'Requirements engineering', 'Systematic literature review']",727
"['Security policy', 'Security requirements', 'Requirement extraction', 'Security control standards', 'Regulatory compliance', 'Certification', 'Accreditation', 'Semantic hierarchy']",728
Social Media Analytics,729
"Security requirement, Android permission, Natural language processing",730
"['Trust and reputation requirements', 'Social cloud', 'Framework', 'Architecture']",731
cooperation,732
"['Computer interviewing', 'Requirements gathering', 'Usability engineering']",733
context,734
Awareness Requirements,735
"['Sustainability requirements', 'Requirements engineering', 'eLearning', 'Sustainable eLearning systems', 'Sustainability', 'Systematic literature review']",736
requirements process,737
Framework,738
RIF,739
Research reporting,740
"['Semantic annotation', 'Legal documents', 'Requirements engineering', 'Regulation compliance problem', 'Legal requirements', 'Multilingual annotation']",741
theoretical replication,742
functional requirements profiles,743
Formal Verification,744
control loops,745
design science,746
IT business value,747
smart search,748
non-functional requirement,749
cluster characterization,750
Requirements Practices,751
Brainstorming Domain awareness,752
"['Requirements traceability', 'Automated tracing', 'Candidate link generation', 'Vocabulary base', 'Secondary measures']",753
Case-based Reasoning,754
"software-engineering,",755
Gameplay design,756
Graph Analytics,757
['Key words: Power industry – Procurement project – Request for Proposals – Requirements engineering – Requirements specification – System engineering'],758
Methods,759
ambiguity detection,760
Situational Contexts,761
vacuity,762
continuous software engineering,763
"['Requirements elicitation', 'Values', 'Motivations', 'Emotions']",764
Requirements-driven software adaptation,765
data-driven requirements elicitation,766
Cybersecurity,767
"['COTS', 'Process improvement', 'Process scenarios', 'Release planning', 'Requirements engineering', 'Requirements prioritisation']",768
social goal models,769
Requirements Generation,770
defect taxonomies,771
eye movement pattern,772
system-of-systems,773
"['Web requirements', 'Interaction', 'Testing', 'Simulation', 'Code generation']",774
"Digital ecosystem, information needs, requirements engineering, context analysis, empirical study",775
JIRA,776
