PID,Title,PVID,Venue_Name,RelationshipType
46,"A Tool for Security Risk Assessment for APT Attacks: using Scenarios, Security Requirements, and Evidence",1,IEEE Conferences,PublishedIn
47,AutoReco: A Tool for Recommending Requirements for their Non-Conformance with Requirement Templates (RTs),1,IEEE Conferences,PublishedIn
48,ModeLLer - A Prototype to Support Requirements Elicitation in Co-Design Environments,1,IEEE Conferences,PublishedIn
49,ILLOD Replication Package: An Open-Source Framework for Abbreviation-Expansion Pair Detection and Term Consolidation in Requirements,1,IEEE Conferences,PublishedIn
50,An Investigation of Requirements Engineering Teaching in Higher Education in Switzerland,1,IEEE Conferences,PublishedIn
51,Requirements Engineering for Explainable AI,1,IEEE Conferences,PublishedIn
52,Enhancing Startup Success Rates: Towards a Pragmatic Framework for Product Managers (PFPM),1,IEEE Conferences,PublishedIn
53,Leveraging User Feedback for Requirements Through Trend and Narrative Analysis,1,IEEE Conferences,PublishedIn
54,A Requirements-Driven Conceptual Modeling Framework for Responsible AI,1,IEEE Conferences,PublishedIn
55,Enhancing Requirements Elicitation through App Stores Mining: Health Monitoring App Case Study,1,IEEE Conferences,PublishedIn
56,A Case Study of Building Shared Understanding of Non-Functional Requirements in a Remote Software Organization,1,IEEE Conferences,PublishedIn
57,A Divide & Concur Approach to Collaborative Goal Modeling with Merge in Early-RE,1,IEEE Conferences,PublishedIn
58,Automated Detection of Typed Links in Issue Trackers,1,IEEE Conferences,PublishedIn
59,Automated Question Answering for Improved Understanding of Compliance Requirements: A Multi-Document Study,1,IEEE Conferences,PublishedIn
60,Automatic Terminology Extraction and Ranking for Feature Modeling,1,IEEE Conferences,PublishedIn
61,CADE: The Missing Benchmark in Evaluating Dataset Requirements of AI-enabled Software,1,IEEE Conferences,PublishedIn
62,Enriching Vision Videos with Text: An Eye Tracking Study,1,IEEE Conferences,PublishedIn
63,Hierarchical Assessment of Safety Requirements for Configurations of Autonomous Driving Systems,1,IEEE Conferences,PublishedIn
64,Legal Accountability as Software Quality: A U.S. Data Processing Perspective,1,IEEE Conferences,PublishedIn
65,Mining User Feedback For Software Engineering: Use Cases and Reference Architecture,1,IEEE Conferences,PublishedIn
66,Narratives: the Unforeseen Influencer of Privacy Concerns,1,IEEE Conferences,PublishedIn
67,Requirements on Explanations: A Quality Framework for Explainability,1,IEEE Conferences,PublishedIn
68,RESAM: Requirements Elicitation and Specification for Deep-Learning Anomaly Models with Applications to UAV Flight Controllers,1,IEEE Conferences,PublishedIn
69,The Benefits of Pre-Requirements Specification Traceability,1,IEEE Conferences,PublishedIn
70,The Implications of ‘Soft’ Requirements,1,IEEE Conferences,PublishedIn
71,What’s Inside a Cluster of Software User Feedback: A Study of Characterisation Methods,1,IEEE Conferences,PublishedIn
72,Creating Consistent Privacy Notices by Translating Code Segments into Privacy Captions,1,IEEE Conferences,PublishedIn
73,Developing A Privacy Risk Analysis Framework for Heterogeneous IoT Network,1,IEEE Conferences,PublishedIn
74,Documenting Regulatory Requirements Decision-Making as a Compliance Concern,1,IEEE Conferences,PublishedIn
75,Evidence-driven Data Requirements Engineering and Data Uncertainty Assessment of Machine Learning-based Safety-critical Systems,1,IEEE Conferences,PublishedIn
76,Towards a Decision Support Tool to Prescribe Recreation for Older Adults in Social Isolation (RxOSI),1,IEEE Conferences,PublishedIn
77,A Box Analogy Technique (BoAT) for Agile-based Modelling of Business Processes,1,IEEE Conferences,PublishedIn
78,DizSpec: Digitalization of Requirements Specification Documents to Automate Traceability and Impact Analysis,1,IEEE Conferences,PublishedIn
79,AnnoteREI! A Tool for Transcribing and Annotating Requirements Elicitation Interviews,1,IEEE Conferences,PublishedIn
80,A Tool For Software Requirement Allocation Using Artificial Intelligence Planning,1,IEEE Conferences,PublishedIn
81,A User-friendly Semi-automatic iStar Modeling Approach,1,IEEE Conferences,PublishedIn
82,BiStar: A Template-Based iStar Modeling Tool Combining Graphical and Textual Modeling,1,IEEE Conferences,PublishedIn
83,NL2RT: A Tool to Translate Natural Language Text into Requirements Templates (RTs),1,IEEE Conferences,PublishedIn
84,PrivacyStory: Tool Support for Extracting Privacy Requirements from User Stories,1,IEEE Conferences,PublishedIn
85,PyFoReL: A Domain-Specific Language for Formal Requirements in Temporal Logic,1,IEEE Conferences,PublishedIn
86,SafeWalk: a Simulation Tool Kit for Exploring Software Requirements in a Safety-Critical Product Line,1,IEEE Conferences,PublishedIn
87,Towards an automatic requirements classification in a new Spanish dataset,1,IEEE Conferences,PublishedIn
88,A Chatbot for the Elicitation of Contextual Information from User Feedback,1,IEEE Conferences,PublishedIn
89,A Live Extensible Ontology of Quality Factors for Textual Requirements,1,IEEE Conferences,PublishedIn
90,Back to the Roots: Linking User Stories to Requirements Elicitation Conversations,1,IEEE Conferences,PublishedIn
91,Done is better than perfect: Iterative Adaptation via Multi-grained Requirement Relaxation,1,IEEE Conferences,PublishedIn
92,Explainability in a Time of Socially Responsible Software,1,IEEE Conferences,PublishedIn
93,Requirements Engineering for Safety-Critical Molecular Programs,1,IEEE Conferences,PublishedIn
94,Retraining a BERT Model for Transfer Learning in Requirements Engineering: A Preliminary Study,1,IEEE Conferences,PublishedIn
95,Teaching and learning Requirements Engineering concepts: Peer-review skills vs. problem solving skills,1,IEEE Conferences,PublishedIn
96,Telling Us Your Needs with Your Eyes,1,IEEE Conferences,PublishedIn
97,What’s up with Requirements Engineering for Artificial Intelligence Systems?,1,IEEE Conferences,PublishedIn
98,Non-functional Requirements for Machine Learning: Understanding Current Use and Challenges in Industry,1,IEEE Conferences,PublishedIn
99,What can Open Domain Model Tell Us about the Missing Software Requirements: A Preliminary Study,1,IEEE Conferences,PublishedIn
100,The practical role of context modeling in the elicitation of context-aware functionalities: a survey,1,IEEE Conferences,PublishedIn
101,Perspectives on Regulatory Compliance in Software Engineering,1,IEEE Conferences,PublishedIn
102,Agile Teams’ Perception in Privacy Requirements Elicitation: LGPD’s compliance in Brazil,1,IEEE Conferences,PublishedIn
103,Ambiguity and Generality in Natural Language Privacy Policies,1,IEEE Conferences,PublishedIn
104,Towards Achieving Trust Through Transparency and Ethics,1,IEEE Conferences,PublishedIn
105,TEM: A Transparency Engineering Methodology Enabling Users’ Trust Judgement,1,IEEE Conferences,PublishedIn
106,The Rise and Fall of COVID-19 Contact-Tracing Apps: when NFRs Collide with Pandemic,1,IEEE Conferences,PublishedIn
107,The Role of Linguistic Relativity on the Identification of Sustainability Requirements: An Empirical Study,1,IEEE Conferences,PublishedIn
108,Mining Reddit as a New Source for Software Requirements,1,IEEE Conferences,PublishedIn
109,Classifying User Requirements from Online Feedback in Small Dataset Environments using Deep Learning,1,IEEE Conferences,PublishedIn
110,Unsupervised Topic Discovery in User Comments,1,IEEE Conferences,PublishedIn
111,From Screenplays to Podcasts - New Perspectives on Improving Requirements Communication in Interdisciplinary Teams,1,IEEE Conferences,PublishedIn
112,Automated Traceability for Domain Modelling Decisions Empowered by Artificial Intelligence,1,IEEE Conferences,PublishedIn
113,Design Decisions in the Construction of Traceability Information Models for Safe Automotive Systems,1,IEEE Conferences,PublishedIn
114,"Exploring Explainability: A Definition, a Model, and a Knowledge Catalogue",1,IEEE Conferences,PublishedIn
115,On the impact of using different templates on creating and understanding user stories,1,IEEE Conferences,PublishedIn
116,On the Role of User Feedback in Software Evolution: a Practitioners’ Perspective,1,IEEE Conferences,PublishedIn
117,From Ideas to Expressed Needs: an Empirical Study on the Evolution of Requirements during Elicitation,1,IEEE Conferences,PublishedIn
118,Environment-Driven Abstraction Identification for Requirements-Based Testing,1,IEEE Conferences,PublishedIn
119,A Survey of Instructional Approaches in the Requirements Engineering Education Literature,1,IEEE Conferences,PublishedIn
120,DDE process: A requirements engineering approach for machine learning in automated driving,1,IEEE Conferences,PublishedIn
121,RASAECO: Requirements Analysis of Software for the AECO Industry,1,IEEE Conferences,PublishedIn
122,Evaluation of a Stakeholder Satisfaction-oriented Method for Prioritising Change Requests,1,IEEE Conferences,PublishedIn
123,Lessons Learned from Customizing and Applying ACTA to Design a Novel Device for Emergency Medical Care,1,IEEE Conferences,PublishedIn
124,CrowdRE in a Governmental Setting: Lessons from Two Case Studies,1,IEEE Conferences,PublishedIn
125,A Pipeline for Automating Labeling to Prediction in Classification of NFRs,1,IEEE Conferences,PublishedIn
126,Towards the Integration of Cybersecurity Risk Assessment into Model-based Requirements Engineering,1,IEEE Conferences,PublishedIn
127,Refining User Stories via Example Mapping: An Empirical Investigation,1,IEEE Conferences,PublishedIn
128,ELFIEP: Evolutionary Lifecycle Framework for Industrial Engineering Practice : A Ten Year Journey of Requirements Inspection Systems Design Methodology (RISDM),1,IEEE Conferences,PublishedIn
129,Applying Model-based Requirements Engineering in Three Large European Collaborative Projects: An Experience Report,1,IEEE Conferences,PublishedIn
130,Representing Human Barriers in Requirements Engineering: The Case of Electronic Health Records,1,IEEE Conferences,PublishedIn
131,Towards a typology of questions for requirements elicitation interviews,1,IEEE Conferences,PublishedIn
132,Text Mining for Standardized Quality Criteria of Natural-Language IT-Requirements,1,IEEE Conferences,PublishedIn
133,Combining risk and variability modelling for requirements analysis in SAS engineering,1,IEEE Conferences,PublishedIn
134,Data-Driven Agile Requirements Elicitation through the Lenses of Situational Method Engineering,1,IEEE Conferences,PublishedIn
135,Information on Potential Vulnerabilities for New Requirements: Does It Help Writing Secure Code?,1,IEEE Conferences,PublishedIn
136,Zoom4PF: A Tool for Refining Static and Dynamic Domain Descriptions in Problem Frames,1,IEEE Conferences,PublishedIn
137,Putting software requirements under the microscope: automated extraction of their semantic elements,1,IEEE Conferences,PublishedIn
138,SusAF Welcomes SusApp: Tool Support for the Sustainability Awareness Framework,1,IEEE Conferences,PublishedIn
139,Co-AI: A Colab-Based Tool for Abstraction Identification,1,IEEE Conferences,PublishedIn
140,Smart3E: Enabling End Users to Express Their Needs for Smart Homes,1,IEEE Conferences,PublishedIn
141,DBRG: Description-Based Non-Quality Requirements Generator,1,IEEE Conferences,PublishedIn
142,Impact of Organisational Culture on the Requirement Engineering Activities,1,IEEE Conferences,PublishedIn
143,DoMoBOT: A Modelling Bot for Automated and Traceable Domain Modelling,1,IEEE Conferences,PublishedIn
144,Analysing Privacy Conflicts in Web-Based Systems,1,IEEE Conferences,PublishedIn
145,Human-Centric Elicitation of Context-Oriented Personal Data Categories: An Exploratory Study in An Educational Institution,1,IEEE Conferences,PublishedIn
146,NFRNet: A Deep Neural Network for Automatic Classification of Non-Functional Requirements,1,IEEE Conferences,PublishedIn
147,ArTu: A Tool for Generating Goal Models from User Stories,1,IEEE Conferences,PublishedIn
148,A Tool for Security Requirements Recommendation using Case-Based Problem Domain Ontology,1,IEEE Conferences,PublishedIn
149,ARF: Automatic Requirements Formalisation Tool,1,IEEE Conferences,PublishedIn
150,CARO: A Conflict-Aware Requirement Ordering Tool for DevOps,1,IEEE Conferences,PublishedIn
151,The MobSTr Dataset – An Exemplar for Traceability and Model-based Safety Assessment,1,IEEE Conferences,PublishedIn
152,MRDQA: A Deep Multimodal Requirement Document Quality Analyzer,1,IEEE Conferences,PublishedIn
153,Enhancing NL Requirements Formalisation Using a Quality Checking Model,1,IEEE Conferences,PublishedIn
154,Pri-AwaRE: Tool Support for priority-aware decision-making under uncertainty,1,IEEE Conferences,PublishedIn
155,RV-SLC: A Tool for Regression Validation of Safety and Liveness Constraints on Goal Models in DevOps Environment,1,IEEE Conferences,PublishedIn
156,Unifying Behavior Driven Development Templates,1,IEEE Conferences,PublishedIn
157,An Idea Generation Tool for Designing Behavior Change Games,1,IEEE Conferences,PublishedIn
158,From Sustainability in Requirements Engineering to a Sustainability-Aware Scrum Framework,1,IEEE Conferences,PublishedIn
159,Human-centric Requirements Engineering for Artificial Intelligence Software Systems,1,IEEE Conferences,PublishedIn
160,A Web Accessibility Requirements Framework for Agile Development,1,IEEE Conferences,PublishedIn
161,Requirements prioritization based on multiple criteria using Artificial Intelligence techniques,1,IEEE Conferences,PublishedIn
162,Towards the development of the cybersecurity concept according to ISO/SAE 21434 using model-based systems engineering,1,IEEE Conferences,PublishedIn
163,A comprehensive approach to identifying key stakeholders in complicated software ecosystems,1,IEEE Conferences,PublishedIn
164,Towards A Theory of Shared Understanding of Non-Functional Requirements in Continuous Software Engineering,1,IEEE Conferences,PublishedIn
165,Agile Requirements Engineering: From User Stories to Software Architectures,1,IEEE Conferences,PublishedIn
166,Software sustainability requirements: a unified method for improving requirements process for software development,1,IEEE Conferences,PublishedIn
167,Requirements Reuse for Exploring Stakeholder Needs,1,IEEE Conferences,PublishedIn
168,Requirements Engineering in the DevOps Era,1,IEEE Conferences,PublishedIn
169,Privacy Requirements Specification in Agile Software Development : RE’2021 Tutorial,1,IEEE Conferences,PublishedIn
170,Human Values in Requirements Engineering : RE’21 Tutorial,1,IEEE Conferences,PublishedIn
171,MARE: an Active Learning Approach for Requirements Classification,1,IEEE Conferences,PublishedIn
172,Requirements engineering for moral considerations in algorithmic systems : RE’20 Conference Keynote,1,IEEE Conferences,PublishedIn
173,Ethics @ Scale: Governing Responsible Innovation in the Cloud RE’20 Conference Keynote,1,IEEE Conferences,PublishedIn
174,RE @ runtime : the challenge of change RE’20 Conference Keynote,1,IEEE Conferences,PublishedIn
175,Business Analysis Agility: how business analysis works with agile development RE’20 Industry Day Keynote,1,IEEE Conferences,PublishedIn
176,Cutting through the Jungle: Disambiguating Model-based Traceability Terminology,1,IEEE Conferences,PublishedIn
177,Trace Link Recovery using Semantic Relation Graphs and Spreading Activation,1,IEEE Conferences,PublishedIn
178,The Way it Makes you Feel Predicting Users’ Engagement during Interviews with Biofeedback and Supervised Learning,1,IEEE Conferences,PublishedIn
179,Same Same but Different: Finding Similar User Feedback Across Multiple Platforms and Languages,1,IEEE Conferences,PublishedIn
180,Voice of the Users: A Demographic Study of Software Feedback Behaviour,1,IEEE Conferences,PublishedIn
181,Which App Features Are Being Used? Learning App Feature Usages from Interaction Data,1,IEEE Conferences,PublishedIn
182,Requirements Dependency Extraction by Integrating Active Learning with Ontology-Based Retrieval,1,IEEE Conferences,PublishedIn
183,The Lack of Shared Understanding of Non-Functional Requirements in Continuous Software Engineering: Accidental or Essential?,1,IEEE Conferences,PublishedIn
184,How developers believe Invisibility impacts NFRs related to User Interaction,1,IEEE Conferences,PublishedIn
185,OASIS: Weakening User Obligations for Security-critical Systems,1,IEEE Conferences,PublishedIn
186,Data-driven Risk Management for Requirements Engineering: An Automated Approach based on Bayesian Networks,1,IEEE Conferences,PublishedIn
187,An AI-assisted Approach for Checking the Completeness of Privacy Policies Against GDPR,1,IEEE Conferences,PublishedIn
188,Extracting and Classifying Requirements from Software Engineering Contracts,1,IEEE Conferences,PublishedIn
189,Automated Recommendation of Templates for Legal Requirements,1,IEEE Conferences,PublishedIn
190,NoRBERT: Transfer Learning for Requirements Classification,1,IEEE Conferences,PublishedIn
191,A Deep Context-wise Method for Coreference Detection in Natural Language Requirements,1,IEEE Conferences,PublishedIn
192,Continual Human Value Analysis in Software Development: A Goal Model Based Approach,1,IEEE Conferences,PublishedIn
193,Digital Discrimination in Sharing Economy A Requirements Engineering Perspective,1,IEEE Conferences,PublishedIn
194,Inspectors Academy : Pedagogical Design for Requirements Inspection Training,1,IEEE Conferences,PublishedIn
195,Theory as a Source of Software Requirements,1,IEEE Conferences,PublishedIn
196,Quality Requirements Elicitation by Ideation of Product Quality Risks with Design Thinking,1,IEEE Conferences,PublishedIn
197,Cyber Digital Twin Simulator for Automatic Gathering and Prioritization of Security Controls’ Requirements,1,IEEE Conferences,PublishedIn
198,Requirements-Driven Method to Determine Quality Characteristics and Measurements for Machine Learning Software and Its Evaluation,1,IEEE Conferences,PublishedIn
199,Requirements Management in Automotive: an Empirical Study on Process Improvement Areas,1,IEEE Conferences,PublishedIn
200,Towards a Taxonomy for Eliciting Design-Operation Continuum Requirements of Cyber-Physical Systems,1,IEEE Conferences,PublishedIn
201,An Analysis of Requirements-Related Problems that Occurred in an organization Using a Mature Requirements Engineering Process,1,IEEE Conferences,PublishedIn
202,"The Ten Lockheed Martin Cyber-Physical Challenges: Formalized, Analyzed, and Explained",1,IEEE Conferences,PublishedIn
203,On the Pragmatics of Requirements Engineering Practices in a Startup Ecosystem,1,IEEE Conferences,PublishedIn
204,Early Requirements Traceability with Domain-Specific Taxonomies - A Pilot Experiment,1,IEEE Conferences,PublishedIn
205,Towards Semantically Guided Traceability,1,IEEE Conferences,PublishedIn
206,Towards Queryable and Traceable Domain Models,1,IEEE Conferences,PublishedIn
207,What Users Think about Predictive Analytics? A Survey on NFRs,1,IEEE Conferences,PublishedIn
208,Evidence-driven Requirements Engineering for Uncertainty of Machine Learning-based Systems,1,IEEE Conferences,PublishedIn
209,Towards a General Solution for Layout of Visual Goal Models with Actors,1,IEEE Conferences,PublishedIn
210,ShapeRE: Towards a Multi-Dimensional Representation for Requirements of Sustainable Software,1,IEEE Conferences,PublishedIn
211,Symboleo: Towards a Specification Language for Legal Contracts,1,IEEE Conferences,PublishedIn
212,Teaching Requirements Engineering for All: A Preliminary Report,1,IEEE Conferences,PublishedIn
213,Reaching the Unreachable : A Method for Early Stage Software Startups to Reach Inaccessible Stakeholders within Large Corporation,1,IEEE Conferences,PublishedIn
214,Automated Goal Model Extraction from User Stories Using NLP,1,IEEE Conferences,PublishedIn
215,Towards Causality Extraction from Requirements,1,IEEE Conferences,PublishedIn
216,Does our culture influence requirements engineering activities? Vietnamese practitioners’ view,1,IEEE Conferences,PublishedIn
217,"Requirements in the loop : A computer-aided analysis of consistency, completeness, and correctness of requirements",1,IEEE Conferences,PublishedIn
218,NERO: A Text-based Tool for Content Annotation and Detection of Smells in Feature Requests,1,IEEE Conferences,PublishedIn
219,Requirements-Collector: Automating Requirements Specification from Elicitation Sessions and User Feedback,1,IEEE Conferences,PublishedIn
220,Utilising Perspectives to Improve Completeness in Industrial Requirements Specifications,1,IEEE Conferences,PublishedIn
221,Identifying Use Case Elements from Textual Specification: A Preliminary Study,1,IEEE Conferences,PublishedIn
222,Improving the Quality of Requirements in Middleware Requirements Specifications,1,IEEE Conferences,PublishedIn
223,Priority-Awareness of Non-Functional Requirements under Uncertainty,1,IEEE Conferences,PublishedIn
224,Security & Safety by Model-based Requirements Engineering,1,IEEE Conferences,PublishedIn
225,Blockchain-oriented Requirements Engineering: A Framework,1,IEEE Conferences,PublishedIn
226,Towards Automatic Capturing of Traceability Links by Combining Eye Tracking and Interaction Data,1,IEEE Conferences,PublishedIn
227,Reducing Ambiguity in Requirements Elicitation via Gamification,1,IEEE Conferences,PublishedIn
228,Towards the Specification and Verification of Legal Contracts,1,IEEE Conferences,PublishedIn
229,Towards socio-technical requirements engineering for regulatory compliance,1,IEEE Conferences,PublishedIn
230,Requirements We Live By,1,IEEE Conferences,PublishedIn
231,"Uncertain Requirements, Assurance and Machine Learning",1,IEEE Conferences,PublishedIn
232,Human Values in Software: A New Paradigm for Requirements Engineering?,1,IEEE Conferences,PublishedIn
233,The Next Step in Requirements Management: Artificial Intelligence,1,IEEE Conferences,PublishedIn
234,Do we Really Know What we are Building? Raising Awareness of Potential Sustainability Effects of Software Systems in Requirements Engineering,1,IEEE Conferences,PublishedIn
235,Can a Conversation Paint a Picture? Mining Requirements In Software Forums,1,IEEE Conferences,PublishedIn
236,"Learning Requirements Elicitation Interviews with Role-Playing, Self-Assessment and Peer-Review",1,IEEE Conferences,PublishedIn
237,Optimizing for Recall in Automatic Requirements Classification: An Empirical Study,1,IEEE Conferences,PublishedIn
238,A Machine Learning-Based Approach for Demarcating Requirements in Textual Specifications,1,IEEE Conferences,PublishedIn
239,Analysis of Requirements-Related Arguments in User Forums,1,IEEE Conferences,PublishedIn
240,The Role of Environment Assertions in Requirements-Based Testing,1,IEEE Conferences,PublishedIn
241,An Approach for Reviewing Security-Related Aspects in Agile Requirements Specifications of Web Applications,1,IEEE Conferences,PublishedIn
242,Detecting Bad Smells in Use Case Descriptions,1,IEEE Conferences,PublishedIn
243,"Visualization Requirements for Business Intelligence Analytics: A Goal-Based, Iterative Framework",1,IEEE Conferences,PublishedIn
244,Predicting How to Test Requirements: An Automated Approach,1,IEEE Conferences,PublishedIn
245,Extracting and Analyzing Context Information in User-Support Conversations on Twitter,1,IEEE Conferences,PublishedIn
246,Requirements Classification with Interpretable Machine Learning and Dependency Parsing,1,IEEE Conferences,PublishedIn
247,How do Practitioners Capture and Utilize User Feedback During Continuous Software Engineering?,1,IEEE Conferences,PublishedIn
248,Analysing Gender Differences in Building Social Goal Models: A Quasi-Experiment,1,IEEE Conferences,PublishedIn
249,Requirements Reference Models Revisited: Accommodating Hierarchy in System Design,1,IEEE Conferences,PublishedIn
250,Automated Recommendation of Software Refactorings Based on Feature Requests,1,IEEE Conferences,PublishedIn
251,A Metamodeling Approach to Support the Engineering of Modeling Method Requirements,1,IEEE Conferences,PublishedIn
252,Extraction of System States from Natural Language Requirements,1,IEEE Conferences,PublishedIn
253,Do End-Users Want Explanations? Analyzing the Role of Explainability as an Emerging Aspect of Non-Functional Requirements,1,IEEE Conferences,PublishedIn
254,Scalable Analysis of Real-Time Requirements,1,IEEE Conferences,PublishedIn
255,Arithmetic Semantics of Feature and Goal Models for Adaptive Cyber-Physical Systems,1,IEEE Conferences,PublishedIn
256,Clustering for Traceability Managing in System Specifications,1,IEEE Conferences,PublishedIn
257,"The General Data Protection Regulation: Requirements, Architectures, and Constraints",1,IEEE Conferences,PublishedIn
258,Requirements Engineering Method for Infrastructure Automation and Cloud Projects,1,IEEE Conferences,PublishedIn
259,On the Requirements for Serious Games Geared Towards Software Developers in the Industry,1,IEEE Conferences,PublishedIn
260,Motivational Modelling in Software for Homelessness: Lessons from an Industrial Study,1,IEEE Conferences,PublishedIn
261,Automating Consistency Verification of Safety Requirements for Railway Interlocking Systems,1,IEEE Conferences,PublishedIn
262,A Query System for Extracting Requirements-Related Information from Legal Texts,1,IEEE Conferences,PublishedIn
263,Big Data Analytics on Cyber Attack Graphs for Prioritizing Agile Security Requirements,1,IEEE Conferences,PublishedIn
264,Requirements Elicitation with a Service Canvas for Packaged Enterprise Systems,1,IEEE Conferences,PublishedIn
265,Design Thinking in a Nutshell for Eliciting Requirements of a Business Process: A Case Study of a Design Thinking Workshop,1,IEEE Conferences,PublishedIn
266,LadderBot: A Requirements Self-Elicitation System,1,IEEE Conferences,PublishedIn
267,Explainability as a Non-Functional Requirement,1,IEEE Conferences,PublishedIn
268,BakeRE: A Serious Educational Game on the Specification and Analysis of User Stories,1,IEEE Conferences,PublishedIn
269,"Don't Worry, Be Happy – Exploring Users' Emotions During App Usage for Requirements Engineering",1,IEEE Conferences,PublishedIn
270,Gender and User Feedback: An Exploratory Study,1,IEEE Conferences,PublishedIn
271,Non-Functional Requirements for Machine Learning: Challenges and New Directions,1,IEEE Conferences,PublishedIn
272,Towards Effective Assessment for Social Engineering Attacks,1,IEEE Conferences,PublishedIn
273,New RE Dimensions for Digital Ecosystems - Initial Results from an Expert Interview Study,1,IEEE Conferences,PublishedIn
274,Towards Integrating Human Values into Software: Mapping Principles and Rights of GDPR to Values,1,IEEE Conferences,PublishedIn
275,Environment-Centric Safety Requirements for Autonomous Unmanned Systems,1,IEEE Conferences,PublishedIn
276,Data-Driven Elicitation and Optimization of Dependencies between Requirements,1,IEEE Conferences,PublishedIn
