AID,Author_Name,IID,Institute_Name,RelationshipType
1539, Z. S. Li,13,"Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada",AffiliatedWith
2702, A. Dash,13,"Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada",AffiliatedWith
2728, N. N. Arony,13,"Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada",AffiliatedWith
3625, K. Devathasan,13,"Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada",AffiliatedWith
2776, N. Ernst,13,"Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada",AffiliatedWith
3789, A. B. Albu,13,"Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada",AffiliatedWith
1787, D. Damian,13,"Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada",AffiliatedWith
14,J. Perera,14,"The University of Auckland, New Zealand; The University of Auckland, New Zealand; The University of Auckland, New Zealand; The University of Auckland, New Zealand",AffiliatedWith
1540, E. Tempero,14,"The University of Auckland, New Zealand; The University of Auckland, New Zealand; The University of Auckland, New Zealand; The University of Auckland, New Zealand",AffiliatedWith
2703, Y. -C. Tu,14,"The University of Auckland, New Zealand; The University of Auckland, New Zealand; The University of Auckland, New Zealand; The University of Auckland, New Zealand",AffiliatedWith
2773, K. Blincoe,14,"The University of Auckland, New Zealand; The University of Auckland, New Zealand; The University of Auckland, New Zealand; The University of Auckland, New Zealand",AffiliatedWith
15,H. Gudaparthi,15,"University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; Mississippi State University, Mississippi State, MS, USA; Beijing Institute of Technology, Beijing, China; Hangzhou Normal University, Hangzhou, China; Danfoss Drives A/S, Graåten, Denmark; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA",AffiliatedWith
1541, N. Niu,15,"University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; Mississippi State University, Mississippi State, MS, USA; Beijing Institute of Technology, Beijing, China; Hangzhou Normal University, Hangzhou, China; Danfoss Drives A/S, Graåten, Denmark; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA",AffiliatedWith
2704, B. Wang,15,"University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; Mississippi State University, Mississippi State, MS, USA; Beijing Institute of Technology, Beijing, China; Hangzhou Normal University, Hangzhou, China; Danfoss Drives A/S, Graåten, Denmark; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA",AffiliatedWith
1636, T. Bhowmik,15,"University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; Mississippi State University, Mississippi State, MS, USA; Beijing Institute of Technology, Beijing, China; Hangzhou Normal University, Hangzhou, China; Danfoss Drives A/S, Graåten, Denmark; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA",AffiliatedWith
1701, H. Liu,15,"University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; Mississippi State University, Mississippi State, MS, USA; Beijing Institute of Technology, Beijing, China; Hangzhou Normal University, Hangzhou, China; Danfoss Drives A/S, Graåten, Denmark; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA",AffiliatedWith
3732, J. Zhang,15,"University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; Mississippi State University, Mississippi State, MS, USA; Beijing Institute of Technology, Beijing, China; Hangzhou Normal University, Hangzhou, China; Danfoss Drives A/S, Graåten, Denmark; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA",AffiliatedWith
2045, J. Savolainen,15,"University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; Mississippi State University, Mississippi State, MS, USA; Beijing Institute of Technology, Beijing, China; Hangzhou Normal University, Hangzhou, China; Danfoss Drives A/S, Graåten, Denmark; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA",AffiliatedWith
3823, G. Horton,15,"University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; Mississippi State University, Mississippi State, MS, USA; Beijing Institute of Technology, Beijing, China; Hangzhou Normal University, Hangzhou, China; Danfoss Drives A/S, Graåten, Denmark; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA",AffiliatedWith
3842, S. Crowe,15,"University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; Mississippi State University, Mississippi State, MS, USA; Beijing Institute of Technology, Beijing, China; Hangzhou Normal University, Hangzhou, China; Danfoss Drives A/S, Graåten, Denmark; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA",AffiliatedWith
3848, T. Scherz,15,"University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; Mississippi State University, Mississippi State, MS, USA; Beijing Institute of Technology, Beijing, China; Hangzhou Normal University, Hangzhou, China; Danfoss Drives A/S, Graåten, Denmark; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA",AffiliatedWith
3852, L. Haitz,15,"University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; Mississippi State University, Mississippi State, MS, USA; Beijing Institute of Technology, Beijing, China; Hangzhou Normal University, Hangzhou, China; Danfoss Drives A/S, Graåten, Denmark; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA",AffiliatedWith
16,Y. Baatartogtokh,16,"Department of Computer Science, Smith College, Northampton, MA, USA; Department of Computer Science, Smith College, Northampton, MA, USA; Department of Computer Science, Smith College, Northampton, MA, USA",AffiliatedWith
1542, I. Foster,16,"Department of Computer Science, Smith College, Northampton, MA, USA; Department of Computer Science, Smith College, Northampton, MA, USA; Department of Computer Science, Smith College, Northampton, MA, USA",AffiliatedWith
1621, A. M. Grubb,16,"Department of Computer Science, Smith College, Northampton, MA, USA; Department of Computer Science, Smith College, Northampton, MA, USA; Department of Computer Science, Smith College, Northampton, MA, USA",AffiliatedWith
17,A. Ferrari,17,"CNR-ISTI, Pisa, Italy; Department of Agriculture, Food and Environment, University of Pisa, Pisa, Italy; Department of Agriculture, Food and Environment, University of Pisa, Pisa, Italy; Department of Agriculture, Food and Environment, University of Pisa, Pisa, Italy",AffiliatedWith
1543, F. Lepore,17,"CNR-ISTI, Pisa, Italy; Department of Agriculture, Food and Environment, University of Pisa, Pisa, Italy; Department of Agriculture, Food and Environment, University of Pisa, Pisa, Italy; Department of Agriculture, Food and Environment, University of Pisa, Pisa, Italy",AffiliatedWith
2705, L. Ortolani,17,"CNR-ISTI, Pisa, Italy; Department of Agriculture, Food and Environment, University of Pisa, Pisa, Italy; Department of Agriculture, Food and Environment, University of Pisa, Pisa, Italy; Department of Agriculture, Food and Environment, University of Pisa, Pisa, Italy",AffiliatedWith
3379, G. Brunori,17,"CNR-ISTI, Pisa, Italy; Department of Agriculture, Food and Environment, University of Pisa, Pisa, Italy; Department of Agriculture, Food and Environment, University of Pisa, Pisa, Italy; Department of Agriculture, Food and Environment, University of Pisa, Pisa, Italy",AffiliatedWith
18,C. Jain,18,"Data and Decision Sciences TCS Research, Pune, India; Data and Decision Sciences TCS Research, Pune, India; Data and Decision Sciences TCS Research, Pune, India; Data and Decision Sciences TCS Research, Pune, India",AffiliatedWith
1544, P. R. Anish,18,"Data and Decision Sciences TCS Research, Pune, India; Data and Decision Sciences TCS Research, Pune, India; Data and Decision Sciences TCS Research, Pune, India; Data and Decision Sciences TCS Research, Pune, India",AffiliatedWith
2706, A. Singh,18,"Data and Decision Sciences TCS Research, Pune, India; Data and Decision Sciences TCS Research, Pune, India; Data and Decision Sciences TCS Research, Pune, India; Data and Decision Sciences TCS Research, Pune, India",AffiliatedWith
1903, S. Ghaisas,18,"Data and Decision Sciences TCS Research, Pune, India; Data and Decision Sciences TCS Research, Pune, India; Data and Decision Sciences TCS Research, Pune, India; Data and Decision Sciences TCS Research, Pune, India",AffiliatedWith
19,A. Rajbhoj,19,"TCS Research, Tata Consultancy Services, Pune, India; TCS Research, Tata Consultancy Services, Hyderabad, India; TCS Research, Tata Consultancy Services, Pune, India; TCS Research, Tata Consultancy Services, Pune, India; TCS Research, Tata Consultancy Services, Pune, India",AffiliatedWith
1545, P. Nistala,19,"TCS Research, Tata Consultancy Services, Pune, India; TCS Research, Tata Consultancy Services, Hyderabad, India; TCS Research, Tata Consultancy Services, Pune, India; TCS Research, Tata Consultancy Services, Pune, India; TCS Research, Tata Consultancy Services, Pune, India",AffiliatedWith
2707, A. Pathan,19,"TCS Research, Tata Consultancy Services, Pune, India; TCS Research, Tata Consultancy Services, Hyderabad, India; TCS Research, Tata Consultancy Services, Pune, India; TCS Research, Tata Consultancy Services, Pune, India; TCS Research, Tata Consultancy Services, Pune, India",AffiliatedWith
3380, P. Kulkarni,19,"TCS Research, Tata Consultancy Services, Pune, India; TCS Research, Tata Consultancy Services, Hyderabad, India; TCS Research, Tata Consultancy Services, Pune, India; TCS Research, Tata Consultancy Services, Pune, India; TCS Research, Tata Consultancy Services, Pune, India",AffiliatedWith
2733, V. Kulkarni,19,"TCS Research, Tata Consultancy Services, Pune, India; TCS Research, Tata Consultancy Services, Hyderabad, India; TCS Research, Tata Consultancy Services, Pune, India; TCS Research, Tata Consultancy Services, Pune, India; TCS Research, Tata Consultancy Services, Pune, India",AffiliatedWith
20,A. Shakeri,20,"German Aerospace Center (DLR), Institute of Systems Engineering for Future Mobility, Oldenburg, Germany; German Aerospace Center (DLR), Institute of Systems Engineering for Future Mobility, Oldenburg, Germany; German Aerospace Center (DLR), Institute of Systems Engineering for Future Mobility, Oldenburg, Germany",AffiliatedWith
1546, O. Klemp,20,"German Aerospace Center (DLR), Institute of Systems Engineering for Future Mobility, Oldenburg, Germany; German Aerospace Center (DLR), Institute of Systems Engineering for Future Mobility, Oldenburg, Germany; German Aerospace Center (DLR), Institute of Systems Engineering for Future Mobility, Oldenburg, Germany",AffiliatedWith
2708, B. Westphal,20,"German Aerospace Center (DLR), Institute of Systems Engineering for Future Mobility, Oldenburg, Germany; German Aerospace Center (DLR), Institute of Systems Engineering for Future Mobility, Oldenburg, Germany; German Aerospace Center (DLR), Institute of Systems Engineering for Future Mobility, Oldenburg, Germany",AffiliatedWith
21,S. Bashir,21,"RISE Research Institutes of Sweden, Västerås, Sweden; RISE Research Institutes of Sweden, Västerås, Sweden; CNR-ISTI, Pisa, Italy; RISE Research Institutes of Sweden, Västerås, Sweden; Alstom, Västerås, Sweden",AffiliatedWith
1547, M. Abbas,21,"RISE Research Institutes of Sweden, Västerås, Sweden; RISE Research Institutes of Sweden, Västerås, Sweden; CNR-ISTI, Pisa, Italy; RISE Research Institutes of Sweden, Västerås, Sweden; Alstom, Västerås, Sweden",AffiliatedWith
1658, A. Ferrari,21,"RISE Research Institutes of Sweden, Västerås, Sweden; RISE Research Institutes of Sweden, Västerås, Sweden; CNR-ISTI, Pisa, Italy; RISE Research Institutes of Sweden, Västerås, Sweden; Alstom, Västerås, Sweden",AffiliatedWith
3381, M. Saadatmand,21,"RISE Research Institutes of Sweden, Västerås, Sweden; RISE Research Institutes of Sweden, Västerås, Sweden; CNR-ISTI, Pisa, Italy; RISE Research Institutes of Sweden, Västerås, Sweden; Alstom, Västerås, Sweden",AffiliatedWith
3626, P. Lindberg,21,"RISE Research Institutes of Sweden, Västerås, Sweden; RISE Research Institutes of Sweden, Västerås, Sweden; CNR-ISTI, Pisa, Italy; RISE Research Institutes of Sweden, Västerås, Sweden; Alstom, Västerås, Sweden",AffiliatedWith
22,V. Bertram,22,"Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany",AffiliatedWith
1548, H. Kausch,22,"Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany",AffiliatedWith
2709, E. Kusmenko,22,"Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany",AffiliatedWith
3382, H. Nqiri,22,"Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany",AffiliatedWith
