Author_Name,Role,AID
N. Kukreja,First,557
D. Hauksdottir,First,558
M. Śmiałek,First,559
K. Welsh,First,560
E. Paja,First,561
S. Supakkul,First,562
M. Vrbaski,First,563
A. Alexandrova,First,564
A. Hoffmann,First,565
A. Knauss,First,566
N. Riegel,First,567
C. Mascolo,First,568
P. Sampath,First,569
N. A. Ernst,First,570
S. McGee,First,571
E. Bjarnason,First,572
S. Marczak,First,573
M. Komssi,First,574
W. Heaven,First,575
V. Veerappa,First,576
R. Rauf,First,577
O. C. Z. Gotel,First,578
N. Ubayashi,First,579
A. Post,First,580
K. Schneider,First,581
O. Brill,First,582
A. Milne,First,583
B. Chen,First,584
C. Fitzgerald,First,585
V. N. L. Franqueira,First,586
M. Raatikainen,First,587
A. J. Nolan,First,588
D. Dietsch,First,589
H. Vogl,First,590
J. P. Carvallo,First,591
A. Wever,First,592
B. Waldmann,First,593
S. Pühl,First,594
E. Boutkova,First,595
B. Regnell,First,596
P. Sawyer,First,597
M. Jarke,First,598
B. Wei,First,599
P. Greenwood,First,600
I. Côté,First,601
Y. Yu,First,602
R. Gacitua,First,603
I. Menzel,First,604
J. D. Young,First,605
P. Clements,First,606
R. Ferrari,First,607
S. Jantunen,First,608
X. Peng,First,609
N. A. Qureshi,First,610
I. J. Jureta,First,611
Z. Racheva,First,612
A. Al-Emran,First,613
S. Fricker,First,614
A. Morali,First,615
A. Egyed,First,616
D. Cuddeback,First,617
C. Salinesi,First,618
A. Mashkoor,First,619
E. Kang,First,620
J. Hill,First,621
M. Bittner,First,622
M. C. Primrose,First,623
D. K. Vijayamma,First,624
S. Siegl,First,625
J. Lockerbie,First,626
S. El Sawah,First,627
A. Sinha,First,628
M. Hirzalla,First,629
M. Aoyama,First,630
K. Ryan,First,631
L. Kof,First,632
M. Kamalrudin,First,633
R. Monteiro,First,634
C. Liu,First,635
K. Wnuk,First,636
C. Stanbridge,First,637
J. A. Miller,First,638
K. Decreus,First,639
C. Castro-Herrera,First,640
R. J. Hall,First,641
P. Mader,First,642
E. A. Holbrook,First,643
S. Espana,First,644
D. L. Moody,First,645
S. Esmaeilsabzali,First,646
P. Liegl,First,647
J. H. Weber-Jahnke,First,648
T. Breaux,First,649
G. Regev,First,650
I. Omoronyia,First,651
G. Elahi,First,652
M. R. Monteiro,First,653
S. Adam,First,654
M. Kauppinen,First,655
J. Kabbedijk,First,656
H. Post,First,657
J. Heiskari,First,658
I. Widya,First,659
H. W. Nissen,First,660
S. Konrad,First,661
D. Zowghi,First,662
A. van Lamsweerde,First,663
T. Long,First,664
A. Classen,First,665
D. Tanabe,First,666
P. Mäder,First,667
A. Rifaut,First,668
S. Thew,First,669
J. Gordijn,First,670
M. H. Fortuna,First,671
R. Smith,First,672
S. E. Sim,First,673
A. Finkelstein,First,674
A. Herrmann,First,675
C. -W. Ho,First,676
K. Zachos,First,677
M. Weiss,First,678
N. Weston,First,679
M. Smith,First,680
A. Monzon,First,681
D. Schmitz,First,682
T. Nakatani,First,683
K. S. Ramasubramaniam,First,684
I. Alexander,First,685
E. J. Uusitalo,First,686
M. S. Feather,First,687
R. Recio,First,688
S. Jones,First,689
A. Rashid,First,690
O. Glorio,First,691
S. Lohmann,First,692
K. Wolter,First,693
K. S. Mukasa,First,694
A. Nhlabatsi,First,695
M. Makino,First,696
A. Szoke,First,697
I. Jacobson,First,698
K. Gopalakrishnan,First,699
P. N. Otto,First,700
J. Aranda,First,701
D. Damian,First,702
M. I. Kamata,First,703
V. Kartseva,First,704
A. Wegmann,First,705
P. Laurent,First,706
L. Lehtola,First,707
D. Bolchini,First,708
L. Jiang,First,709
S. Hebler,First,710
M. Salifu,First,711
M. Sabetzadeh,First,712
R. A. Gandhi,First,713
A. Metzger,First,714
A. K. Thurimella,First,715
K. Pohl,First,716
C. Heitmeyer,First,717
B. Nicholson,First,718
Y. Asnar,First,719
O. Djebbi,First,720
G. Muniraj,First,721
J. M. Bhat,First,722
A. Borg,First,723
K. Sankar R,First,724
N. Deshmukh,First,725
R. Rabiser,First,726
I. Kwan,First,727
M. Klassen,First,728
L. Delgadillo,First,729
S. -W. Lee,First,730
A. K. Laskaris,First,731
C. Cappelli,First,732
J. M. Conejero,First,733
M. P. S. Bhatia,First,734
M. B. Rosson,First,735
D. Graham,First,736
J. Mylopoulos,First,737
K. S. Wasson,First,738
F. Chantree,First,739
K. Mehner,First,740
F. Torner,First,741
M. El-Attar,First,742
P. -Y. Schobbens,First,743
M. -O. Reiser,First,744
B. Axenath,First,745
R. Seater,First,746
A. Davis,First,747
H. Kaiya,First,748
S. Smith,First,749
J. So,First,750
D. Aubrey,First,751
K. Wendland,First,752
P. Arkley,First,753
M. Pichler,First,754
B. Paech,First,755
S. P. Miller,First,756
A. Prindahl,First,757
R. Young,First,758
J. Dick,First,759
H. Akkermans,First,760
S. L. Cornford,First,761
C. Potts,First,762
K. Chen,First,763
P. Giorgini,First,764
I. van de Weerd,First,765
J. Pablo Carvallo,First,766
D. Bush,First,767
F. Alencar,First,768
B. Al-Ani,First,769
L. Bastos,First,770
I. Sofia Brito,First,771
A. Ebnenasir,First,772
H. Goldsby,First,773
B. Gonzalez-Baixauli,First,774
J. Munoz,First,775
A. Stone,First,776
J. Tang,First,777
G. Grau,First,778
J. Lin,First,779
C. Quer,First,780
D. Jackson,First,781
J. . -P. Corniou,First,782
Kun Chen,First,783
S. Buhne,First,784
B. van der Raadt,First,785
S. Kujala,First,786
T. Cohene,First,787
Christof Ebert,First,788
A. Etien,First,789
S. Fickas,First,790
R. Crook,First,791
D. Svetinovic,First,792
S. Easterbrook,First,793
I. Diaz,First,794
V. Perrone,First,795
M. C. Robinson,First,796
R. Lutz,First,797
Wei Zhang,First,798
T. Toyama,First,799
S. Boyd,First,800
Yijun Yu,First,801
A. Bucchiarone,First,802
T. Arao,First,803
E. Simmons,First,804
Xiping Song,First,805
H. Solheim,First,806
S. Nesland,First,807
N. C. Jordan,First,808
A. Wassyng,First,809
G. Fanmuy,First,810
L. . -H. Jean-Baptiste,First,811
S. S. Some,First,812
J. Hassine,First,813
A. Miranskyy,First,814
M. G. Georgiades,First,815
A. Ivanovic,First,816
K. Li,First,817
J. Chisan,First,818
R. Matulevicius,First,819
T. Nakamura,First,820
A. Sampaio,First,821
L. Hagge,First,822
C. Pott,First,823
T. Fuji,First,824
P. N. Cross,First,825
K. Vinsen,First,826
A. L. Correa,First,827
L. Patricio,First,828
S. Katz,First,829
J. Araujo,First,830
L. Rapanotti,First,831
C. B. Haley,First,832
R. Laney,First,833
S. Lauesen,First,834
J. A. Gulla,First,835
G. Mark,First,836
B. Gonzales-Baixauli,First,837
S. Uchitel,First,838
Hung Tran Van,First,839
N. Nurmuliani,First,840
R. Boddu,First,841
J. Natt och Dag,First,842
A. Padula,First,843
M. Hoffmann,First,844
D. T. Haley,First,845
R. Tsuchiya,First,846
N. Heumesser,First,847
A. Puschnig,First,848
H. Omasreiter,First,849
J. C. Gibson,First,850
G. Sousa,First,851
R. Hill,First,852
Luncheng Lin,First,853
S. Some,First,854
V. G. Cerf,First,855
S. Lipner,First,856
H. Stower,First,857
M. Bergman,First,858
J. B. Jorgensen,First,859
W. N. Robinson,First,860
F. R. S. Paim,First,861
C. . -S. Shih,First,862
B. Sengupta,First,863
A. Fuxman,First,864
B. Hui,First,865
H. D. Covvey,First,866
A. M. Hickey,First,867
J. G. Hall,First,868
J. Niu,First,869
R. De Landtsheer,First,870
P. Loucopoulos,First,871
M. Deraitus,First,872
R. J. Barnes,First,873
D. Becker,First,874
R. Chardon,First,875
N. Yilmazturk,First,876
F. J. Salvatore,First,877
G. Heller,First,878
S. Catrava,First,879
G. Romanski,First,880
J. E. Archer,First,881
G. Herzwurm,First,882
M. Rossi,First,883
M. P. E. Heimdahl,First,884
W. Stufflebeam,First,885
K. Oshiro,First,886
E. Navarro,First,887
T. Tuunanen,First,888
L. Lin,First,889
D. Richards,First,890
J. M. Carroll,First,891
W. Kozaczynski,First,892
F. Schoenthaler,First,893
A. I. Anton,First,894
V. F. A. Santander,First,895
M. A. Fecko,First,896
N. Dulac,First,897
P. Fenkam,First,898
M. Lemoine,First,899
M. von der Beeck,First,900
A. Toval,First,901
C. Kong,First,902
T. Fritzhanns,First,903
A. Kozlenkov,First,904
A. Duran,First,905
H. G. Woo,First,906
S. Hardiman,First,907
H. Doernemann,First,908
W. Gross,First,909
A. Vickers,First,910
J. Giesen,First,911
B. Kovitz,First,912
K. Knorr,First,913
C. Stutz,First,914
K. Schmid,First,915
M. Hardt,First,916
I. John,First,917
A. von Knethen,First,918
J. Garcia-Duque,First,919
S. Dusire,First,920
J. Nawrocki,First,921
W. J. Lloyd,First,922
D. E. Damian,First,923
M. Weber,First,924
S. A. Higgins,First,925
P. G. Neumann,First,926
R. P. Knott,First,927
J. Atle Gulla,First,928
E. Garcia Alcazar,First,929
N. A. Day,First,930
L. B. Sherrell,First,931
M. Saeki,First,932
P. Ferdinandi,First,933
S. J. Greenspan,First,934
C. L. Heitmeyer,First,935
J. C. Sampaio do Prado Leite,First,936
J. Siddiqi,First,937
D. L. Parnas,First,938
F. Moisiadis,First,939
K. Breitman,First,940
L. Lavazza,First,941
L. Nguyen,First,942
L. Baum,First,943
R. Hubbard,First,944
C. A. Gunter,First,945
J. Horl,First,946
D. E. Herlea Damian,First,947
D. C. Gause,First,948
R. C. Linger,First,949
T. Hammer,First,950
A. Russo,First,951
I. Hooks,First,952
N. Millard,First,953
I. Sommerville,First,954
C. Kop,First,955
M. J. Loomes,First,956
M. Haglind,First,957
R. C. Smith,First,958
P. Morris,First,959
P. Fowler,First,960
N. A. M. Maiden,First,961
A. G. Sutcliffe,First,962
M. T. Gaska,First,963
R. Lecoeuche,First,964
N. G. Leveson,First,965
K. Koogan Breitman,First,966
K. Weidenhaupt,First,967
P. Forsgren,First,968
W. Lam,First,969
L. A. Macaulay,First,970
B. Lawrence,First,971
E. Hudlicka,First,972
K. Takahashi,First,973
D. W. Bustard,First,974
D. A. Rawsthorne,First,975
M. Hill,First,976
C. R. Nobe,First,977
J. F. Leathrum,First,978
J. Karlsson,First,979
J. Vanwelkenhuysen,First,980
P. Hsia,First,981
P. Carlshamre,First,982
L. Macaulay,First,983
E. A. White,First,984
C. Rolland,First,985
L. D. Catledge,First,986
R. M. Gonzales,First,987
G. Kosters,First,988
R. E. M. Champion,First,989
B. Boehm,First,990
F. A. C. Pinheiro,First,991
A. Ohnishi,First,992
M. Osborne,First,993
I. Santos,First,994
B. Belkhouche,First,995
C. Shekaran,First,996
A. Salek,First,997
M. B. Ozcan,First,998
Jianhong Liang,First,999
K. J. Hughes,First,1000
J. Dobson,First,1001
J. Bubenko,First,1002
M. Alford,First,1003
P. Wright,First,1004
S. M. White,First,1005
N. R. Reizer,First,1006
N. W. Morgan,First,1007
J. Holland,First,1008
L. Goldin,First,1009
R. D. Acosta,First,1010
M. Dorfmann,First,1011
D. P. Wood,First,1012
J. O. P. Soares,First,1013
R. E. Fairley,First,1014
G. Eckert,First,1015
J. M. Drake,First,1016
Shih-Chien Chou,First,1017
G. Bucci,First,1018
Marian Daun,First,1019
Edna Dias Canedo,First,1020
Madhushi Bandara,First,1021
Meira Levy,First,1022
Mariana Peixoto,First,1023
C. Pacheco,First,1024
Khan Mohammad Habibullah,First,1025
Rogelio Hernández,First,1026
Muhammad Yaseen,First,1027
Xavier Franch,First,1028
Rene Noel,First,1029
Mahsa H. Sadi,First,1030
Peter Bambazek,First,1031
Julian Frattini,First,1032
Lukas Nagel,First,1033
Clara Marie Lüders,First,1034
Paulo Malcher,First,1035
Laura Okpara,First,1036
Marcela Ruiz,First,1037
Birgit Penzenstadler,First,1038
Elisabeth Henkel,First,1039
Dipeeka Luitel,First,1040
Hans-Martin Heyn,First,1041
Fabiano Dalpiaz,First,1042
Waleed Abdeen,First,1043
Taciana Novo Kudo,First,1044
M. Astegher,First,1045
Rebekka Wohlrab,First,1046
Muhammad Abbas,First,1047
Ana Moreira,First,1048
Zedong Peng,First,1049
Larissa Chazette,First,1050
Catarina Gralha,First,1051
Jelle Wouters,First,1052
Alessio Ferrari,First,1053
Lloyd Montgomery,First,1054
Rainara Maia Carvalho,First,1055
Yawen Wang,First,1056
Ruzanna Chitchyan,First,1057
James Tizard,First,1058
Kristina Marner,First,1059
Yarden Levy,First,1060
Camilo Almendra,First,1061
Hamed Barzamini,First,1062
Thomas Olsson,First,1063
Aghyad Albaghajati,First,1064
Raúl Lapeña,First,1065
Andreas Kaufmann,First,1066
Paula de Oliveira Santos,First,1067
Daniel Bouskela,First,1068
Salome Maro,First,1069
Rafika Thabet,First,1070
Lucas Gren,First,1071
Ana Carolina Oran,First,1072
Dirk van der Linden,First,1073
Don Barrett,First,1074
Matthew Robinson,First,1075
Alicia M. Grubb,First,1076
Yunduo Wang,First,1077
Jameleddine Hassine,First,1078
Cristina Palomares,First,1079
Soroosh Nalchigar,First,1080
José del Sagrado,First,1081
Omar El Beggar,First,1082
Lin Shi,First,1083
Shaun Howell,First,1084
Manolis Koubarakis,First,1085
Sandro Bimonte,First,1086
Kaushik Madala,First,1087
Georgia Dede,First,1088
Adrian Benfell,First,1089
Kelly Blincoe,First,1090
Hugo Villamizar,First,1091
Leticia Duboc,First,1092
Sayonnha Mandal,First,1093
Tawfeeq Alsanoosy,First,1094
Abdullah Wahbeh,First,1095
Lysanne Lessard,First,1096
Jemison dos Santos,First,1097
Hamidreza Alrezaamiri,First,1098
Martina Z. Kolpondinos,First,1099
Alimohammad Shahri,First,1100
Zhongchen Yuan,First,1101
Marné de Vries,First,1102
Assia Alexandrova,First,1103
Iris Reinhartz-Berger,First,1104
Johan Linåker,First,1105
Mahdi Ghasemi,First,1106
Alistair Sutcliffe,First,1107
Maryam Nooraei Abadeh,First,1108
D. Beimel,First,1109
Okhaide Akhigbe,First,1110
Xiangping Chen,First,1111
Deokyoon Ko,First,1112
Ahmed D. Alharthi,First,1113
Daniel Amyot,First,1114
Stavros Simou,First,1115
S. Magnus Ågren,First,1116
Matthew L. Hale,First,1117
Jaspreet Bhatia,First,1118
Muneera Bano,First,1119
Abha Moitra,First,1120
Jonas Westman,First,1121
Jennifer Horkoff,First,1122
Daniel Aceituna,First,1123
Ye Wang,First,1124
Esteban Sánchez,First,1125
Enyo Gonçalves,First,1126
João Caramujo,First,1127
Juan Pablo Carvallo,First,1128
Deepika Prakash,First,1129
Arezoo Yazdani Seqerloo,First,1130
Sarah Thew,First,1131
Shalinka Jayatilleke,First,1132
João Barata,First,1133
Palash Bera,First,1134
Kerry Neace,First,1135
