Institute_Name,IID
"University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; Mississippi State University, Mississippi State, MS, USA; Beijing Institute of Technology, Beijing, China; Hangzhou Normal University, Hangzhou, China; Danfoss Drives A/S, Graåten, Denmark; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA",15
"Department of Computer Science, Smith College, Northampton, MA, USA; Department of Computer Science, Smith College, Northampton, MA, USA; Department of Computer Science, Smith College, Northampton, MA, USA",16
"CNR-ISTI, Pisa, Italy; Department of Agriculture, Food and Environment, University of Pisa, Pisa, Italy; Department of Agriculture, Food and Environment, University of Pisa, Pisa, Italy; Department of Agriculture, Food and Environment, University of Pisa, Pisa, Italy",17
"Data and Decision Sciences TCS Research, Pune, India; Data and Decision Sciences TCS Research, Pune, India; Data and Decision Sciences TCS Research, Pune, India; Data and Decision Sciences TCS Research, Pune, India",18
"TCS Research, Tata Consultancy Services, Pune, India; TCS Research, Tata Consultancy Services, Hyderabad, India; TCS Research, Tata Consultancy Services, Pune, India; TCS Research, Tata Consultancy Services, Pune, India; TCS Research, Tata Consultancy Services, Pune, India",19
"German Aerospace Center (DLR), Institute of Systems Engineering for Future Mobility, Oldenburg, Germany; German Aerospace Center (DLR), Institute of Systems Engineering for Future Mobility, Oldenburg, Germany; German Aerospace Center (DLR), Institute of Systems Engineering for Future Mobility, Oldenburg, Germany",20
"RISE Research Institutes of Sweden, Västerås, Sweden; RISE Research Institutes of Sweden, Västerås, Sweden; CNR-ISTI, Pisa, Italy; RISE Research Institutes of Sweden, Västerås, Sweden; Alstom, Västerås, Sweden",21
"Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany",22
"Faculty of Industrial Engineering, Technische Hochschule Ingolstadt, Ingolstadt, Germany; Process Management Development Driving/Energy AUDI AG, Ingolstadt, Germany; Research Institute AImotion Bavaria Technische Hochschule Ingolstadt, Ingolstadt, Germany",23
"Institute of Software Systems Engineering, Johannes Kepler University Linz, Linz, Austria; Institute of Software Systems Engineering, Johannes Kepler University Linz, Linz, Austria; Institute of Software Systems Engineering, Johannes Kepler University Linz, Linz, Austria; Institute of Software Systems Engineering, Johannes Kepler University Linz, Linz, Austria",24
"Computer Science Department, Iowa State University, Ames, USA; Computer Science Department, Iowa State University, Ames, USA",25
"Digital Design & Engineering Maiborn Wolff, Munich, Germany; Managing Director Maiborn Wolff, Munich, Germany",26
"EBCONT, Vienna, Austria; Johannes Kepler University Linz, Linz, Austria; FHNW, Windisch, Switzerland",27
"EuroMov Digital Health in Motion, Univ Montpellier, IMT Mines Ales, Ales, France; EuroMov Digital Health in Motion, Univ Montpellier, IMT Mines Ales, Ales, France; EuroMov Digital Health in Motion, Univ Montpellier, IMT Mines Ales, Ales, France; EuroMov Digital Health in Motion, Univ Montpellier, IMT Mines Ales, Ales, France; EuroMov Digital Health in Motion, Univ Montpellier, IMT Mines Ales, Montpellier, France; EuroMov Digital Health in Motion, Univ Montpellier, IMT Mines Ales, Ales, France",28
"Computer Science and Engineering University of Notre Dame, South Bend, USA; Center for Research Computing University of Notre Dame, South Bend, USA; Computer Science and Engineering University of Notre Dame, South Bend, USA",29
"Campus de Quixadá Universidade Federal do Ceará, Quixadá, Brazil; Centro de Informática Universidade Federal de Pernambuco, Recife, Brazil",30
"School of Information Technology, Deakin University, Geelong, Victoria, Australia; Faculty of Information Technology, Monash University, Clayton, Victoria, Australia; School of Information Technology, Deakin University, Geelong, Victoria, Australia; School of Information Technology, Deakin University, Geelong, Victoria, Australia; School of Information Technology, Deakin University, Geelong, Victoria, Australia; Faculty of Information Technology, Monash University, Clayton, Victoria, Australia",31
"Poznan University of Technology, Poznan, Poland; Leibniz Universität Hannover, Hannover, Germany",32
"Institute of Business Informatics - SE JKU Business School Johannes Kepler University Linz, Linz, Austria; Institute of Business Informatics - SE JKU Business School Johannes Kepler University Linz, Linz, Austria; Institute for Interactive Technologies FHNW, Windisch, Switzerland",33
"School of EECS, University of Ottawa, Ottawa, Canada; School of EECS, University of Ottawa, Ottawa, Canada; School of EECS, University of Ottawa, Ottawa, Canada",34
"Beijing University of Technology, Beijing, China; Beijing University of Technology, Beijing, China; Beijing University of Technology, Beijing, China",35
"NOVA LINCS, NOVA Faculty of Science and Technology, NOVA University of Lisbon; NOVA LINCS, NOVA Faculty of Science and Technology, NOVA University of Lisbon; NOVA LINCS, NOVA Faculty of Science and Technology, NOVA University of Lisbon",36
"Dipartimento di Ingegneria dell'Informazione, Universitá di Firenze, Firenze, Italy; Istituto di Scienza e Tecnologie dell'Informazione “A.Faedo” Consiglio Nazionale delle Ricerche, ISTI-CNR, Pisa, Italy; Dipartimento di Informatica, Universitá di Pisa, Pisa, Italy; Dipartimento di Informatica, Universitá di Pisa, Pisa, Italy",37
"Dipartimento di Elettronica, Informazione e Bioingegneria Milan, Politecnico di Milano, Italy; Dipartimento di Elettronica, Informazione e Bioingegneria Milan, Politecnico di Milano, Italy; Dipartimento di Elettronica, Informazione e Bioingegneria Milan, Politecnico di Milano, Italy",38
"Dept. of Computer Science and Eng., Chalmers | University of Gothenburg, Gothenburg, Sweden; Dept. of Computer Science and Eng., Chalmers | University of Gothenburg, Gothenburg, Sweden; Dept. of Mechanics and Maritime Sciences, Chalmers University of Technology, Gothenburg, Sweden; Zenseact AB, Gothenburg, Sweden",39
"College of Computer Science and Technology, Inner Mongolia Normal University, Hohhot, China; College of Computer Science and Technology, Inner Mongolia Normal University, Hohhot, China; School of Information Technology, Deakin University, Geelong, Australia; School of Information Technology, Deakin University, Geelong, Australia; College of Computer Science and Technology, Inner Mongolia Normal University, Hohhot, China; College of Computer Science and Technology, Inner Mongolia Normal University, Hohhot, China; Faculty of Information Technology, Monash University, Melbourne, Australia",40
"School of Computer Science and Engineering, Guangxi Normal University, Guilin, China; School of Computer Science and Engineering, Guangxi Normal University, Guilin, China; School of Computer Science and Engineering, Guangxi Normal University, Guilin, China; School of Computer Science and Engineering, Guangxi Normal University, Guilin, China",41
"Dept. of Information and Computing Sciences, Utrecht University, Utrecht, The Netherlands",42
"School of Computer Science and Engineering, Guangxi Normal University, Guilin, China; School of Computer Science and Engineering, Guangxi Normal University, Guilin, China; School of Computer Science and Engineering, Guangxi Normal University, Guilin, China; School of Computer Science and Engineering, Guangxi Normal University, Guilin, China; School of Computer Science and Engineering, Guangxi Normal University, Guilin, China",43
"Key Lab of Education Blockchain and Intelligent Technology Ministry of Education, Guangxi Normal University, Guilin, China; Key Lab of Education Blockchain and Intelligent Technology Ministry of Education, Guangxi Normal University, Guilin, China; Key Lab of Education Blockchain and Intelligent Technology Ministry of Education, Guangxi Normal University, Guilin, China; Key Lab of Education Blockchain and Intelligent Technology Ministry of Education, Guangxi Normal University, Guilin, China",44
"Dept. of Artificial Intelligence, Ajou University, Suwon, Korea; Dept. of Artificial Intelligence, Ajou University, Suwon, Korea; Dept. of Artificial Intelligence, Ajou University, Suwon, Korea",45
"DA-IICT, Gandhinagar, India; DA-IICT, Gandhinagar, India; DA-IICT, Gandhinagar, India; SAC ISRO, Govt of India",46
"National Research Council, University of Pisa, Pisa, Italy; University of Pisa, Pisa, Italy; National Research Council, Pisa, Italy; National Research Council, Pisa, Italy; University of Pisa, Pisa, Italy; University of Pisa, Molde University College, Pisa, Molde, Italy, Norway",47
"Fraunhofer FKIE, Wachtberg, Germany; University of Koblenz, Koblenz, Germany; Fraunhofer FKIE, Wachtberg, Germany; Fraunhofer FKIE, Wachtberg, Germany; University of Koblenz, Koblenz, Germany",48
"Doctoral School of Education University of Szeged, Szeged, Hungary",49
"Institute of Software Engineering University of Stuttgart, Stuttgart, Germany",50
"Dept. of Business Informatics and Operations Management, Ghent University, Ghent, Belgium",51
"Department of Computer Science, University of Victoria, Victoria, Canada",52
"Faculty of Information, University of Toronto, Toronto, Canada",53
"EuroMov Digital Health in Motion, Univ Montpellier, IMT Mines Ales, Ales, France",54
"Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada",55
"Universität Hamburg, Hamburg, Germany; Universität Hamburg, Hamburg, Germany; Universität Hamburg, Hamburg, Germany",56
"SnT Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg; Deakin University, Geelong, Australia; SnT Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg; Deakin University, Geelong, Australia",57
"Alibaba Business School, Hangzhou Normal University, Hangzhou, China; Alibaba Business School, Hangzhou Normal University, Hangzhou, China; Alibaba Business School, Hangzhou Normal University, Hangzhou, China; Department of Electrical Engineering & Computer Science, University of Cincinnati, USA; Alibaba Business School, Hangzhou Normal University, Hangzhou, China",58
"Department of Computer Science, Northern Illinois University, DeKalb, IL; Department of Computer Science, Northern Illinois University, DeKalb, IL",59
"Software Engineering Group, Leibniz University Hannover, Hannover, Germany; Software Engineering Group, Leibniz University Hannover, Hannover, Germany; Software Engineering Group, Leibniz University Hannover, Hannover, Germany; Software Engineering Group, Leibniz University Hannover, Hannover, Germany",60
"Ministry of Education, Key Lab. of High-Confidence Software Technologies (Peking University), Beijing, China; National Institute of Informatics, Tokyo, Japan; National Institute of Informatics, Tokyo, Japan; Ministry of Education, Key Lab. of High-Confidence Software Technologies (Peking University), Beijing, China; Ministry of Education, Key Lab. of High-Confidence Software Technologies (Peking University), Beijing, China; School of Computer Science, Peking University, Beijing, China; National Institute of Informatics, Tokyo, Japan",61
"School of Computer Science, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States; School of Law, Fordham University, New York, New York, United States",62
"University College London, London, UK; University College London, London, UK; Fondazione Bruno Kessler, Trento, Italy; Fondazione Bruno Kessler, Trento, Italy",63
"Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada",64
"Software Engineering Group, Leibniz University Hannover, Germany; Software and Embedded Systems Engineering, Technische Universität Berlin, Germany; Graphmasters GmbH; Software Engineering Group, Leibniz University Hannover, Germany",65
"Dept. of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA; Dept. of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA; Dept. of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA; Dept. of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA; Dept. of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA",66
"Department of Computer Science, Friedrich-Alexander University Erlangen Nürnberg, Erlangen, Germany; Department of Computer Science, Friedrich-Alexander University Erlangen Nürnberg, Erlangen, Germany; Department of Computer Science, Friedrich-Alexander University Erlangen Nürnberg, Erlangen, Germany; Software Engineering Consulting develop group, Erlangen, Germany",67
"Dept of Computer Science, Durham University; School of Engineering and Applied Science, Aston University; Dept of Computer Science, Durham University",68
"Department of Electrical, Computer, and Software Engineering, University of Auckland, New Zealand; Department of Electrical, Computer, and Software Engineering, University of Auckland, New Zealand; Department of Electrical, Computer, and Software Engineering, University of Auckland, New Zealand; School of Computer Science, University of Auckland, New Zealand; Department of Electrical, Computer, and Software Engineering, University of Auckland, New Zealand",69
"Department of Computer Science, University of Maine, Orono, ME, USA",70
"School of Computing and Information Science, University of Maine, 168 College Ave, Orono, ME, United States",71
"Department of Information Systems, University of Maryland, Baltimore County, Baltimore, MD, USA",72
"Department of Artificial Intelligence, Ajou University, Suwon City, South Korea",73
"Digital Transformation and Innovation, University of Ottawa, Ottawa, Canada",74
"Sheffield Hallam University, UK; Vigil, UK; XP Inc., Brazil; Wipro Limited, Brazil",75
"TCS Research Tata Consultancy Services, Pune, India; TCS Research Tata Consultancy Services, Hyderabad, India; TCS Research Tata Consultancy Services, Pune, India; TCS Research Tata Consultancy Services, Pune, India; TCS Research Tata Consultancy Services, Pune, India",76
"College of Coumputing and Software Engineering, Kennesaw State University, Kennesaw, USA; College of Coumputing and Software Engineering, Kennesaw State University, Kennesaw, USA",77
"Department of Informatics, Federal University of Paraná, Curitiba, Brazil; Department of Informatics, Federal University of Paraná, Curitiba, Brazil; Department of Informatics, Federal University of Paraná, Curitiba, Brazil; Department of Informatics, Federal University of Paraná, Curitiba, Brazil; Department of Informatics, Federal University of Paraná, Curitiba, Brazil",78
Beijing University of Technology; Beijing University of Technology,79
"Software Engineering Research Lab, DA-IICT, Gandhinagar, India; Software Engineering Research Lab, DA-IICT, Gandhinagar, India; Software Engineering Research Lab, DA-IICT, Gandhinagar, India",80
"Faculty of Computer Science, University of Vienna, Vienna, Austria; Faculty of Computer Science Research Group MIS Währinger Straße 29, University of Vienna, Vienna, Austria; Universitas Gadjah Mada, Yogyakarta, Indonesia",81
"School of Comp. and Aug. Intelligence, Arizona State University, Tempe, AZ, USA; School of Comp. and Aug. Intelligence, Arizona State University, Tempe, AZ, USA; Future Research Department, Toyota Research Institute of North America, Ann Arbor, MI, USA",82
"Department of Computer Science, Iowa State University, Ames, Iowa, USA; Department of Computer Science, Iowa State University, Ames, Iowa, USA; Department of Computer Science, Iowa State University, Ames, Iowa, USA; Department of Computer Science, Iowa State University, Ames, Iowa, USA; Department of Computer Science, Iowa State University, Ames, Iowa, USA; Department of Computer Science, Iowa State University, Ames, Iowa, USA; Department of Computer Science, Iowa State University, Ames, Iowa, USA",83
"Fac. Informática, Database Lab. Universidade da Coruña, CITIC, A Coruña, Spain; Fac. Informática, Database Lab. Universidade da Coruña, CITIC, A Coruña, Spain; Fac. Informática, Database Lab. Universidade da Coruña, CITIC, A Coruña, Spain",84
"University of Hamburg, Hamburg, Germany; University of Hamburg, Hamburg, Germany; University of Hamburg, Hamburg, Germany",85
"Blekinge Institute of Technology, Karlskrona, Sweden; University of Hamburg, Hamburg, Germany; Netlight Consulting GmbH and *fortiss GmbH, Munich, Germany; Blekinge Institute of Technology, Karlskrona, Sweden; Blekinge Institute of Technology, Karlskrona, Sweden; Blekinge Institute of Technology, Karlskrona, Sweden",86
"fizor. and Utrecht University, Utrecht, the Netherlands; Utrecht University, Utrecht, the Netherlands; Utrecht University, Utrecht, the Netherlands",87
"Waseda University, Tokyo, Japan; Waseda University, Tokyo, Japan",88
"Dept. Acad. de IngenierÍa Informática, UNSAAC, Cusco, Perú; School of Information Technology, York University, Toronto, Canada; NA",89
"Department of Computer Science, Iowa State University, Ames, IA, USA",90
"Department of Computer Science, University of Manchester, Oxford Road, Manchester, UK; Department of Computer Science, University of Manchester, Oxford Road, Manchester, UK",91
"School of Computing Technologies, STEM College RMIT University, Melbourne, Australia",92
"Beijing University of Technology, Beijing, China; Beijing University of Technology, Beijing, China",93
"School of Information Technology, Deakin University, Geelong, Australia; School of Information Technology, Deakin University, Geelong, Australia; School of Information Technology, Deakin University, Geelong, Australia; School of Information Technology, Deakin University, Geelong, Australia; Faculty of IT, Monash University",94
"Chalmers | University of Gothenburg, Sweden; Chalmers | University of Gothenburg, Sweden",95
"Beihang University, Beijing, China; Beihang University, Beijing, China; Beihang University, Beijing, China",96
"Architecture-Centric Engineering Fraunhofer IESE, Kaiserslautern, Germany; Digital Innovation Design Fraunhofer IESE, Kaiserslautern, Germany; Institute of Computing Federal University of Bahia, Salvador, Brazil; Digital Innovation Design Fraunhofer IESE, Kaiserslautern, Germany; Computer Science Graduate Program Federal University of Bahia, Salvador, Brazil",97
"Department of Information Systems, University of Maryland, Baltimore County, Baltimore, MD, USA; Department of Information Systems, University of Maryland, Baltimore County, Baltimore, MD, USA",98
"Department of Computer Science, University of Brasília (UnB), Brasília-DF, Brazil; University Center - UniCEUB, Brasília-DF, Brazil; Department of Computer Science, University of Brasília (UnB), Brasília-DF, Brazil; Department of Computer Science, University of Brasília (UnB), Brasília-DF, Brazil; University Center - UniCEUB, Brasília-DF, Brazil",99
"Computer Science Department, St. Mary’s University, San Antonio, TX, United States; Computer Science Department, University of Texas at San Antonio, San Antonio, TX, United States; Computer Science Department, University of Texas at San Antonio, San Antonio, TX, United States; Computer Science Department, University of Texas at San Antonio, San Antonio, TX, United States; Computer Science Department, Carnegie Mellon University, Pittsburgh, PA, United States",100
"School of Information Technology, York University, Toronto, Canada; School of Information Technology, York University, Toronto, Canada; Dep. De Informática PUC, Pontificia Universidade Catolica, Rio de Janeiro, Brazil",101
"Dept. Computer Science, University of Leicester, Leicester, UK; Dept. Computer Science, University of Leicester, Leicester, UK",102
"School of Information Technology, Deakin University, Geelong, Australia; School of Information Technology, Deakin University, Geelong, Australia; School of Computer Science, University of Technology Sydney, Sydney, Australia; ISTI-CNR National Research Council of Italy, Pisa, Italy",103
"University of Hamburg, Hamburg, Germany; University of Hamburg, Hamburg, Germany; University of Hamburg, Hamburg, Germany; University of Hamburg, Hamburg, Germany",104
"University of Tartu, Tartu, Estonia; NUST, Islamabad, Pakistan; University of Tartu, Tartu, Estonia; FHNW, Windisch, Switzerland",105
"Fraunhofer USA Center Mid-Atlantic, Riverdale, MD, USA; Fraunhofer USA Center Mid-Atlantic, Riverdale, MD, USA; Fraunhofer IESE, Kaiserslautern, Germany; Fraunhofer USA Center Mid-Atlantic, Riverdale, MD, USA; Fraunhofer USA Center Mid-Atlantic, Riverdale, MD, USA",106
"Fraunhofer IEEE, Kaiserslautern, Germany; Fraunhofer IEEE, Kaiserslautern, Germany; Fraunhofer IEEE, Kaiserslautern, Germany",107
"Dept. of ECE, McGill University, Montréal, QC, Canada; Dept. of ECE, McGill University, Montréal, QC, Canada; School of Computer Science, McGill University, Montréal, QC, Canada; School of Computer Science, McGill University, Montréal, QC, Canada",108
"Chalmers University of Technology | University of Gothenburg, Gothenburg, Sweden; OFFIS e.V., Oldenburg, Germany; OFFIS e.V., Oldenburg, Germany; Chalmers University of Technology | University of Gothenburg, Gothenburg, Sweden; Chalmers University of Technology | University of Gothenburg, Gothenburg, Sweden; Chalmers University of Technology | University of Gothenburg, Gothenburg, Sweden",109
"Software Engineering Group, Leibniz University Hannover, Hannover, Germany; Software Engineering Group, Leibniz University Hannover, Hannover, Germany; Institute of Philosophy and Department of Computer Science, Saarland University, Saarbrücken, Germany",110
"Department of Computer Science Faculty of Science and Technology, Nova Lincs, Universidade Nova de Lisboa; Department of Computer Science Faculty of Science and Technology, Nova Lincs, Universidade Nova de Lisboa; Department of Computer Science Faculty of Science and Technology, Nova Lincs, Universidade Nova de Lisboa; Department of Computer Science Faculty of Science and Technology, Nova Lincs, Universidade Nova de Lisboa",111
Vrije Universiteit Amsterdam; Vrije Universiteit Amsterdam,112
"Kennesaw State University, GA, USA; Kennesaw State University, GA, USA; CNR-ISTI, Pisa, Italy",113
"University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA; University of Cincinnati, Cincinnati, OH, USA",114
"The Ruhr Institute of Software Engineering, University of Duisburg-Essen, Essen, Germany; Department of Computer Science, Smith College, Northampton, MA, United States; Department of Computer Science, State University of New York at Oswego, Oswego, NY, United States",115
"Cross-Domain Computing Solutions, Robert Bosch GmbH, Stuttgart, Germany; Cross-Domain Computing Solutions, Robert Bosch GmbH, Stuttgart, Germany; Cross-Domain Computing Solutions, Robert Bosch GmbH, Stuttgart, Germany; Cross-Domain Computing Solutions, Robert Bosch GmbH, Stuttgart, Germany; Cross-Domain Computing Solutions, Robert Bosch GmbH, Stuttgart, Germany; Cross-Domain Computing Solutions, Robert Bosch GmbH, Stuttgart, Germany",116
Zurich University of Applied Sciences (ZHAW); Catenda AS; Zurich University of Applied Sciences (ZHAW),117
"Bern, Switzerland; University of Applied Sciences Northwestern Switzerland, Windisch, Switzerland",118
"Universität Hamburg, Hamburg, Germany; Universität Hamburg, Hamburg, Germany; University Medical Center Hamburg-Eppendorf, Hamburg, Germany; University Medical Center Hamburg-Eppendorf, Hamburg, Germany; University Medical Center Hamburg-Eppendorf, Hamburg, Germany; Universität Hamburg, Hamburg, Germany",119
"Royal Netherlands Marechaussee, ES Den Haag, NL; Royal Netherlands Marechaussee, ES Den Haag, NL; Royal Netherlands Marechaussee, ES Den Haag, NL; Royal Netherlands Marechaussee, ES Den Haag, NL; Department of Information and Computing Sciences, Utrecht University, Utrecht, NL; Department of Information and Computing Sciences, Utrecht University, Utrecht, NL",120
"TCS Research, Kolkata, India; TCS Research, Pune, India; TCS Research, Pune, India; TCS Research, Pune, India; TCS Research, Pune, India; TCS Research, Pune, India",121
"IMT Atlantique, Lab-STICC, Brest, France; IRISA – UMR 6074, Univ. Bretagne-Sud, Vannes, France; Thales Technical Directorate, SSI Systems Engineer, Brest, France; Thales Technical Directorate, SSI Systems Engineer, Brest, France; IMT Atlantique, Lab-STICC, Brest, France",122
"Info Support, Veenendaal, the Netherlands; Utrecht University, Utrecht, the Netherlands",123
"NTT Corporation, NTT Computer & Data Science Laboratories, Tokyo, Japan; Department of Software Engineering, Nanzan University, Nagoya, Japan",124
"Innopolis University - SOFTEAM, Innopolis, Russia, Paris, France; Åbo Akademi University, Turku, Finland; LS2N (UMR CNRS 6004), IMT Atlantique, Nantes, France",125
"School of Industrial Eng. and Mang, Shenkar College of Engineering, Design and Art, Ramat-Gan, Israel; Department of Visual Communication, Shenkar College of Engineering, Design and Art, Ramat-Gan, Israel; Department of Information Systems, University of Haifa, Haifa, Israel",126
"School of Information Technology, York University, Toront, Canada; School of Information Technology, York University, Toront, Canada",127
"Hochschule für Telekommunikation, Leipzig, Germany; Leipzig University, Leipzig, Germany",128
"SAMOVAR, Télécom SudParis, Institut Polytechnique de Paris, Evry, France; Fondazione Bruno Kessler, Trento, Italy; Fondazione Bruno Kessler, Trento, Italy; Fondazione Bruno Kessler, Trento, Italy",129
"Univ. Politècnica de Catalunya, Barcelona, Spain; Stockholm University, Kista, Sweden; University of Geneva, Geneva, Switzerland; Stockholm University, Kista, Sweden",130
"Dept. of Computer Science and Engineering, Mississippi State University, Mississippi State, MS, USA; Dept. of Computer Science and Engineering, Mississippi State University, Mississippi State, MS, USA",131
"School of Computer Science and Engineering, Guangxi Normal University, Guilin, China; School of Computer Science and Engineering, Guangxi Normal University, Guilin, China; School of Software, Beihang University, Beijing, China; School of Computer Science and Engineering, Guangxi Normal University, Guilin, China",132
"Department of Computer Science, Humboldt-Universität zu Berlin, Berlin, Germany; Department of Computer Science, Humboldt-Universität zu Berlin, Berlin, Germany; Department of Computer Science and Engineering, Chalmers University of Technology and University of Gothenburg, Gothenburg, Sweden",133
"Department of Electrical Engineering and Computer Science, University of Cincinnati, Cincinnati, OH, USA; Department of Electrical Engineering and Computer Science, University of Cincinnati, Cincinnati, OH, USA",134
"Shanghai Key Laboratory of Trustworthy Computing, East China Normal University, Shanghai, China; Shanghai Key Laboratory of Trustworthy Computing, East China Normal University, Shanghai, China; Key Laboratory of High-Confidence Software Technologies (PKU), MoU, Peking University, Beijing, China; School of Software, Tsinghua University, Beijing, China",135
"Information Technology, Deakin University, Melbourne, Australia; Information Technology, Deakin University, Melbourne, Australia; Information Technology, Deakin University, Melbourne, Australia; Information Technology, Monash University, Melbourne, Australia; Information Technology, Deakin University, Melbourne, Australia",136
"School of Computing Technologies, RMIT University, Melbourne, Australia; College of Computer Science and Engineering, Taibah University, Medina, Saudi Arabia; School of Computing Technologies, RMIT University, Melbourne, Australia",137
"Dept. of ECE, McGill University, Montréal, Canada; Dept. of ECE, McGill University, Montréal, Canada; School of Computer Science, McGill University, Montréal, Canada; School of Computer Science, McGill University, Montréal, Canada",138
"School of Computer Science, University of Glasgow; School of Computer Science, University of Glasgow",139
"Software Engineering, International Institute of Information Technology, Bangalore, India; Centre for IT and Public Policy, International Institute of Information Technology, Bangalore, India",140
"College of Computer Science, Guangdong University of Science and Technology, Dongguan, China; School of Computer Science and Engineering, Guangxi Normal University, Guilin, China; School of Software, Beihang University, Beijing, China",141
"Boğaziçi University, Turkey; Boğaziçi University, Turkey; Boğaziçi University, Turkey",142
"Dept. of Artificial Intelligence, Ajou University, Suwon, Korea; Dept. of Artificial Intelligence, Ajou University, Suwon, Korea; Dept. of Artificial Intelligence Dept. of Software and Computer Engineering, Ajou University, Suwon, Korea",143
"University of Calcutta, Kolkata, India; Indian Institute of Information Technology, Vadodara, India; Ca’ Foscari University, Venice, Italy; University of Calcutta, Kolkata, India; University of Calcutta, Kolkata, India",144
